n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
3000,pevmean_ga,-1,0.02528336412244228,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26555,101.49584537604824
3500,pevmean_ga,-1,0.023385091244251366,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26583,112.54002931434661
4000,pevmean_ga,-1,0.0217934689664784,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26562,122.08607537997887
4500,pevmean_ga,-1,0.020630310938440366,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26663,130.14617607276887
500,pevmean_ga,-1,0.07637445099010659,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26330,53.04558647610247
1000,pevmean_ga,-1,0.04811568046857993,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26525,62.729726020712405
1500,pevmean_ga,-1,0.0381688009194107,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26706,72.66171000199392
2000,pevmean_ga,-1,0.031857075259295244,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26650,82.91128367278725
2500,pevmean_ga,-1,0.027555131440951276,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26489,91.79681289661676
3000,pevmean_ga,-1,0.025148667347988884,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26665,102.71732475887984
3500,pevmean_ga,-1,0.02318209188737434,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26591,112.0211603040807
4000,pevmean_ga,-1,0.021776600310073814,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26751,122.25038124294952
4500,pevmean_ga,-1,0.020622177348315066,100,2235.717038262904,3,Selvær,3,980813718,body_mass,300,26665,124.14282547915354
500,pevmean_ga,-1,0.0780932754210611,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26617,53.00192751502618
1000,pevmean_ga,-1,0.04863187409970883,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26511,63.05949138570577
1500,pevmean_ga,-1,0.03816517099895695,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26600,72.99527115514502
2000,pevmean_ga,-1,0.031567619618546316,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26571,83.4254351570271
2500,pevmean_ga,-1,0.0279714711459843,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26488,91.17503041680902
3000,pevmean_ga,-1,0.025249387182104868,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26637,101.6129589388147
3500,pevmean_ga,-1,0.023245819265323767,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26698,111.63150248490274
4000,pevmean_ga,-1,0.021867813157187246,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26633,120.377665665932
4500,pevmean_ga,-1,0.020595469060720618,100,2235.717038262904,3,Selvær,4,1849893988,body_mass,300,26622,127.63602806488052
500,pevmean_ga,-1,0.4311862948116968,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26441,57.003456878010184
1000,pevmean_ga,-1,0.297584323808548,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26492,66.1936963852495
1500,pevmean_ga,-1,0.23963256910570588,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26746,76.33348554372787
2000,pevmean_ga,-1,0.20363438745510196,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26542,86.8634355510585
2500,pevmean_ga,-1,0.17767366680334865,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26733,95.0756230102852
3000,pevmean_ga,-1,0.15909673718025888,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26614,104.86191372899339
3500,pevmean_ga,-1,0.14453597885625433,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26711,115.69578653387725
4000,pevmean_ga,-1,0.13368224244490023,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26669,126.1282827728428
4500,pevmean_ga,-1,0.1251905572185205,100,2235.717038262904,4,Gjerøy,0,1623418790,body_mass,300,26541,127.97652928624302
500,pevmean_ga,-1,0.4347187485019109,100,2235.717038262904,4,Gjerøy,1,1639125088,body_mass,300,26533,57.08400756679475
