trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
body_mass,10,pevmean_ga,2000,0.4669135867650526,0.0020882483555264967,421.80312380520627,5
body_mass,10,pevmean_ga,2500,0.4029976079159597,0.0016177383158591224,468.5664974018,5
body_mass,10,pevmean_ga,3000,0.35445867263313635,0.0013788682848778905,515.8436254570261,5
body_mass,10,pevmean_ga,3500,0.3180370376107839,0.0011922619761805236,566.723083677236,5
body_mass,10,pevmean_ga,4000,0.2910255023311204,0.00036124055590534837,613.5771662024781,5
body_mass,10,pevmean_ga,4500,0.26960427150802474,0.0009090340872583256,650.2345880526118,5
body_mass,11,pevmean_ga,500,0.6919683453936715,0.01336076167264873,293.31141463294625,5
body_mass,11,pevmean_ga,1000,0.4782569766032231,0.0016940500867384104,340.8776693935506,5
body_mass,11,pevmean_ga,1500,0.3823870464367992,0.0013664364442674643,389.65621655713767,5
body_mass,11,pevmean_ga,2000,0.32612215504748027,0.0014939458423426678,438.2739973803982,5
body_mass,11,pevmean_ga,2500,0.28600476384470397,0.001369125151712594,480.60372319305316,5
body_mass,11,pevmean_ga,3000,0.25647119041785843,0.001235400442685115,528.4888397040777,5
body_mass,11,pevmean_ga,3500,0.23430553874378018,0.00041522641955895695,578.5914836479351,5
body_mass,11,pevmean_ga,4000,0.21679213816456128,0.0003232227173340462,628.4293867885135,5
body_mass,11,pevmean_ga,4500,0.20315812576887535,0.00013928962180069867,656.4083767090924,5
body_mass,12,pevmean_ga,500,0.2836106363500369,0.004350214499635133,282.94029723107815,5
body_mass,12,pevmean_ga,1000,0.1948939298461329,0.001507111951687636,333.768739214167,5
body_mass,12,pevmean_ga,1500,0.15642309598361007,0.0009275788062374085,382.462534267921,5
body_mass,12,pevmean_ga,2000,0.133800445352815,0.00044568163730171055,433.2071179379709,5
body_mass,12,pevmean_ga,2500,0.11759988377275113,0.0004865983695875342,474.381523729302,5
body_mass,12,pevmean_ga,3000,0.10584059898272018,0.00045104101640156333,525.0590464561246,5
body_mass,12,pevmean_ga,3500,0.0963137802383877,0.00028414466916303104,573.1633881209418,5
body_mass,12,pevmean_ga,4000,0.08917206507357871,0.00014633006950711682,621.1184243746102,5
body_mass,12,pevmean_ga,4500,0.08350301087925348,0.00013919487552656058,625.4038188094273,5
body_mass,13,pevmean_ga,500,0.3850272861605335,0.005883679297630772,296.453419407364,5
body_mass,13,pevmean_ga,1000,0.25952080192282134,0.002859070632987453,343.485106932465,5
body_mass,13,pevmean_ga,1500,0.20439643795781767,0.0006800909135189516,393.1350496010855,5
body_mass,13,pevmean_ga,2000,0.1707797719015655,0.0010619476064909574,441.18501089373603,5
body_mass,13,pevmean_ga,2500,0.14873440059726822,0.00047204259901890354,485.19912950787693,5
body_mass,13,pevmean_ga,3000,0.1325799195484465,0.0005059714495284795,531.3703886303119,5
body_mass,13,pevmean_ga,3500,0.1206143938569139,0.0002445672425017124,579.7077941251919,5
body_mass,13,pevmean_ga,4000,0.11108511480307567,0.0002063379530495061,630.0507850260474,5
body_mass,13,pevmean_ga,4500,0.10371950864616605,7.815724500360205e-05,643.806748398114,5
body_mass,14,pevmean_ga,500,0.4530118633412967,0.003222220439450528,302.61896723881364,5
body_mass,14,pevmean_ga,1000,0.28469070370660327,0.0018427067888353338,352.08428340777755,5
body_mass,14,pevmean_ga,1500,0.2163720922603177,0.0009505868806907392,398.37137974239886,5
body_mass,14,pevmean_ga,2000,0.1774769728359132,0.0011424071238379005,448.4733591033146,5
body_mass,14,pevmean_ga,2500,0.1517106977711772,0.0005239893057917943,490.04885998461396,5
body_mass,14,pevmean_ga,3000,0.13376400528897228,0.0002287563921632097,541.8439323026687,5
body_mass,14,pevmean_ga,3500,0.12039728114140172,0.00023979174297483264,589.014541787561,5
body_mass,14,pevmean_ga,4000,0.11022666790327607,0.00014459457296727693,641.188371937722,5
body_mass,14,pevmean_ga,4500,0.10213393257653129,7.734564172907708e-05,661.0379010778852,5
