trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_tarsus,3,random_pc_ridge,random,,,9,300023,2500,5085,565,3250,3250,107097.74831514445,0.3443428357415639,0.48472267389297485,-0.00016769343604676048,,,0.0,0.17388623510487378
thr_tarsus,3,random_pc_ridge,random,,,9,300023,3000,5085,565,3250,3250,107097.74831514445,0.3458897601485616,0.48353561758995056,-0.00017129633325257713,,,0.0,0.22386484104208648
thr_tarsus,3,random_pc_ridge,random,,,9,300023,3500,5085,565,3250,3250,107097.74831514445,0.3734002439790014,0.4741147756576538,-0.00017107989325087982,,,0.0,0.28114314610138535
thr_tarsus,3,random_pc_ridge,random,,,9,300023,4000,5085,565,3250,3250,107097.74831514445,0.3886132010359139,0.4685238003730774,-0.00017507197447567312,,,0.0,0.2929311280604452
thr_tarsus,3,random_pc_ridge,random,,,9,300023,4500,5085,565,3250,3250,107097.74831514445,0.39746496479354126,0.46373847126960754,-0.00018345448980089775,,,0.0,0.309710486093536
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,500,5085,565,3250,3250,107097.74831514445,0.29177823937742775,0.5005123019218445,0.0014593002301953046,,0.0014593002301953046,0.00037147896364331245,0.01793116284534335
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,1000,5085,565,3250,3250,107097.74831514445,0.3273261101382427,0.4939350485801697,0.0010510448418989866,,0.0010510448418989866,0.00037147896364331245,0.03415441093966365
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,1500,5085,565,3250,3250,107097.74831514445,0.33953244953277983,0.4881337881088257,0.0008106346669751003,,0.0008106346669751003,0.00037147896364331245,0.07070048106834292
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,2000,5085,565,3250,3250,107097.74831514445,0.38056170596049305,0.4766446650028229,0.0006361626823832635,,0.0006361626823832635,0.00037147896364331245,0.18403015891090035
thr_tarsus,3,avggrm_pc_ridge,avggrm,lambda_0,0.0,-1,-1,2500,5085,565,3250,3250,107097.74831514445,0.38082652164679653,0.47436997294425964,0.0004935809937598985,,0.0004935809937598985,0.00037147896364331245,0.16811239393427968
