Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388827
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_config.json
[I 2026-05-05 21:23:18,535] Trial 31 finished with value: 0.20823052908115391 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3185604340961849, 'batch_norm': False, 'lr': 7.911507332145334e-05, 'weight_decay': 4.523374865399312e-08, 'epochs': 112, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.02048517889602373, 'iw_n_components': 80, 'iw_logistic_c': 0.06458132063815564, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 21:34:52,314] Trial 32 finished with value: 0.22193169853924447 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.17126979920561522, 'batch_norm': False, 'lr': 3.094681596703185e-05, 'weight_decay': 3.403023728376029e-06, 'epochs': 144, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.017739490706686234, 'iw_n_components': 80, 'iw_logistic_c': 0.053578506889720955, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 21:45:44,137] Trial 33 finished with value: 0.19382792523259623 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.24309758045076296, 'batch_norm': False, 'lr': 0.00015915091970640814, 'weight_decay': 5.8027661657914865e-08, 'epochs': 73, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.010260555124968002, 'iw_n_components': 80, 'iw_logistic_c': 0.31024790736418295, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 21:57:00,715] Trial 34 finished with value: 0.2049361494157232 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.10134516006320816, 'batch_norm': False, 'lr': 0.00014145325966448497, 'weight_decay': 5.848707813402507e-07, 'epochs': 115, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.036320843564741113, 'iw_n_components': 80, 'iw_logistic_c': 0.0014649539853519489, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:08:32,584] Trial 35 finished with value: 0.20675490584835812 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.04555794185586552, 'batch_norm': False, 'lr': 0.0005334422862494496, 'weight_decay': 1.405871589567095e-06, 'epochs': 139, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.005175696798485275, 'iw_n_components': 80, 'iw_logistic_c': 0.0190841705477265, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:18:15,795] Trial 36 finished with value: 0.16154327231785884 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.37057580358596987, 'batch_norm': False, 'lr': 0.00025955584259010854, 'weight_decay': 2.055743841268912e-08, 'epochs': 88, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.01154941605199368, 'iw_n_components': 60, 'iw_logistic_c': 1.9878527455265205, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:26:04,913] Trial 37 finished with value: 0.2093452525983926 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.24543443125734815, 'batch_norm': False, 'lr': 4.901656023615987e-05, 'weight_decay': 2.1313787479848105e-07, 'epochs': 156, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0025878009179490947, 'iw_n_components': 20, 'iw_logistic_c': 0.0038855417534614774, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:34:40,761] Trial 38 finished with value: 0.22415205081190023 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.18170406564486546, 'batch_norm': False, 'lr': 1.6505056636990117e-05, 'weight_decay': 8.659880689298834e-07, 'epochs': 58, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.007857120989643803, 'iw_n_components': 50, 'iw_logistic_c': 0.3447473838904605, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:43:16,587] Trial 39 finished with value: -1.0 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.28160081111124374, 'batch_norm': False, 'lr': 1.1066234890091771e-05, 'weight_decay': 2.373553995902337e-06, 'epochs': 58, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005266571240001452, 'iw_n_components': 50, 'iw_logistic_c': 0.5652151133704094, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 22:51:50,531] Trial 0 finished with value: 0.1436783394391638 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.18584155530312246, 'batch_norm': False, 'lr': 0.0007461243578022468, 'weight_decay': 3.677761493113531e-06, 'epochs': 129, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0028019443363010753, 'iw_n_components': 30, 'iw_logistic_c': 1.1501102218860025e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.1436783394391638.
