Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388830
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_uniform_config.json
[I 2026-05-05 17:56:03,017] Trial 11 finished with value: 0.18675158282938814 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.42317097275309223, 'batch_norm': False, 'lr': 0.0001437279445492769, 'weight_decay': 2.1898026593496918e-05, 'epochs': 203, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 17:57:21,221] Trial 12 finished with value: 0.19194937963950362 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.38612840177664126, 'batch_norm': False, 'lr': 0.00010657633883801231, 'weight_decay': 2.1250803965901395e-05, 'epochs': 229, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 17:58:44,221] Trial 13 finished with value: 0.19334558505645516 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.3862424045964289, 'batch_norm': False, 'lr': 4.278811488147198e-05, 'weight_decay': 6.79747107624376e-05, 'epochs': 245, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 17:59:40,605] Trial 14 pruned. 
[I 2026-05-05 18:01:28,006] Trial 15 finished with value: 0.19010652604567777 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.5138689187979693, 'batch_norm': False, 'lr': 4.133643192849605e-05, 'weight_decay': 4.049799747139729e-06, 'epochs': 162, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 18:02:57,599] Trial 16 finished with value: 0.1877159825722499 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.49636237383629367, 'batch_norm': False, 'lr': 6.330829504299615e-05, 'weight_decay': 2.2426502366345458e-07, 'epochs': 267, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 18:04:14,880] Trial 17 finished with value: 0.19011096014071305 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.2943245036542529, 'batch_norm': False, 'lr': 0.000566022139196402, 'weight_decay': 0.00010790563581654594, 'epochs': 226, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 18:05:20,670] Trial 18 finished with value: 0.19715763307247752 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.3204969569621835, 'batch_norm': False, 'lr': 6.702658611905047e-06, 'weight_decay': 1.1146178077955329e-05, 'epochs': 186, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:06:51,941] Trial 19 finished with value: 0.18349895993569115 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.17085324118848258, 'batch_norm': False, 'lr': 5.8101908800130424e-06, 'weight_decay': 9.080401511624432e-06, 'epochs': 135, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:07:29,139] Trial 20 pruned. 
[I 2026-05-05 18:08:42,131] Trial 21 finished with value: 0.1878624558776841 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.008584592461532259, 'batch_norm': False, 'lr': 2.182077259700922e-05, 'weight_decay': 5.0337450464659724e-05, 'epochs': 211, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:10:06,986] Trial 22 finished with value: 0.19020669185775413 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.4478524023833693, 'batch_norm': False, 'lr': 7.962913159480997e-05, 'weight_decay': 8.735176563233494e-06, 'epochs': 251, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:11:08,662] Trial 23 finished with value: 0.17670738017048965 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.3558965330250959, 'batch_norm': False, 'lr': 0.0002758387334515542, 'weight_decay': 0.00011776912672161048, 'epochs': 174, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:12:27,491] Trial 24 finished with value: 0.18985665238743224 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.24462121894928784, 'batch_norm': False, 'lr': 7.28216988109395e-06, 'weight_decay': 9.2718306922623e-06, 'epochs': 228, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:13:34,191] Trial 25 finished with value: 0.19398384923480227 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.2911925578015579, 'batch_norm': False, 'lr': 1.662863212805254e-05, 'weight_decay': 1.4793488414508415e-06, 'epochs': 190, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:14:39,584] Trial 26 finished with value: 0.19663747882688912 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.29137841038351164, 'batch_norm': False, 'lr': 1.626115880540742e-05, 'weight_decay': 6.6232362085935e-07, 'epochs': 186, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
[I 2026-05-05 18:16:19,023] Trial 27 pruned. 
[I 2026-05-05 18:17:25,896] Trial 28 pruned. 
[I 2026-05-05 18:18:16,525] Trial 29 finished with value: 0.18489654170982736 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.20499277348005074, 'batch_norm': False, 'lr': 3.1185136663864805e-06, 'weight_decay': 2.5825637637078235e-06, 'epochs': 135, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 18 with value: 0.19715763307247752.
