Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361690
Array task ID: 14
The job was run on these nodes: idun-10-07
[I 2026-04-29 22:23:33,657] Trial 41 finished with value: 0.1667024164018365 and parameters: {'alpha': 789077.1516025446, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.009908295961224335, 'iw_n_components': 10, 'iw_logistic_c': 3.4718773736034967, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:28:58,412] Trial 42 finished with value: 0.1660297607383557 and parameters: {'alpha': 680625.4017083864, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.003816078964403635, 'iw_n_components': 10, 'iw_logistic_c': 3.7388032476682334, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:34:22,060] Trial 43 finished with value: 0.16674205865975641 and parameters: {'alpha': 859638.0645153057, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008493106672708405, 'iw_n_components': 10, 'iw_logistic_c': 0.09911792654268553, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:39:52,585] Trial 44 finished with value: 0.16753136881387637 and parameters: {'alpha': 846680.2048201243, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.009135611240411711, 'iw_n_components': 10, 'iw_logistic_c': 0.7634812964221275, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:45:24,769] Trial 45 finished with value: 0.1646716566981283 and parameters: {'alpha': 888606.1465183072, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008790025996410369, 'iw_n_components': 20, 'iw_logistic_c': 0.06558978164751762, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:51:06,769] Trial 46 finished with value: -1.0 and parameters: {'alpha': 520775.43824309093, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.006531761318526832, 'iw_n_components': 30, 'iw_logistic_c': 0.7683344706439941, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:52:04,913] Trial 47 finished with value: 0.1410069863431125 and parameters: {'alpha': 854618.4933329108, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:57:20,806] Trial 48 finished with value: 0.16643606771940134 and parameters: {'alpha': 435851.41179094714, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0034553545938785053, 'iw_n_components': 10, 'iw_logistic_c': 0.1883157077897977, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:03:21,839] Trial 49 finished with value: 0.1435025837154111 and parameters: {'alpha': 753084.8862255996, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.009057406650593302, 'iw_n_components': 50, 'iw_logistic_c': 1.2104893374602576e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 23:07:24,557] Trial 50 finished with value: 0.1417435584695495 and parameters: {'alpha': 600060.9099787562, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.002580199528044655, 'iw_n_components': 1, 'iw_logistic_c': 0.9709978982068203, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
