Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378209
Array task ID: 10
The job was run on these nodes: idun-04-06
[I 2026-05-04 01:56:41,984] Trial 41 finished with value: 0.2127638404007513 and parameters: {'alpha': 271426.53427125426, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.007872778075618543, 'iw_n_components': 60, 'iw_logistic_c': 0.14363849120247368, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 01:59:45,236] Trial 42 finished with value: 0.2087966963011724 and parameters: {'alpha': 573268.8466206862, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.007146244971386605, 'iw_n_components': 60, 'iw_logistic_c': 0.04821921440513626, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:02:40,556] Trial 43 finished with value: 0.21100681571569813 and parameters: {'alpha': 196560.69679945143, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004860871885951452, 'iw_n_components': 30, 'iw_logistic_c': 0.6327408602952821, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:05:43,772] Trial 44 finished with value: 0.20892936753341265 and parameters: {'alpha': 359751.86956258677, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0008288756879843992, 'iw_n_components': 60, 'iw_logistic_c': 0.01723274425768138, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:06:16,213] Trial 45 finished with value: 0.20626448867312877 and parameters: {'alpha': 274767.0137554782, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:09:06,594] Trial 46 finished with value: 0.20875094188295246 and parameters: {'alpha': 437568.282711374, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0029452178377071315, 'iw_n_components': 20, 'iw_logistic_c': 0.0006483126425979444, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:12:08,824] Trial 47 finished with value: 0.20671400882861612 and parameters: {'alpha': 229220.34628285113, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.002087825654039508, 'iw_n_components': 60, 'iw_logistic_c': 0.005792087449591395, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:15:19,100] Trial 48 finished with value: 0.21308417575619704 and parameters: {'alpha': 330568.3113556993, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.008528402458689636, 'iw_n_components': 80, 'iw_logistic_c': 0.0021564034530991497, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:18:29,950] Trial 49 finished with value: 0.21187133372378733 and parameters: {'alpha': 133878.84081465285, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.00797494089228898, 'iw_n_components': 80, 'iw_logistic_c': 0.0022099434874478545, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:19:02,704] Trial 50 finished with value: 0.2060112172943087 and parameters: {'alpha': 304515.354979806, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:22:13,194] Trial 51 finished with value: 0.21117415013707563 and parameters: {'alpha': 174040.44527908065, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.008147050190548354, 'iw_n_components': 80, 'iw_logistic_c': 0.001631295205545746, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:25:18,458] Trial 52 finished with value: 0.20839517304400848 and parameters: {'alpha': 126440.5986178389, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.005456158954984463, 'iw_n_components': 80, 'iw_logistic_c': 0.0001107172349808646, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:28:33,997] Trial 53 finished with value: 0.2068767140633637 and parameters: {'alpha': 100839.08200430567, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.014602022320178865, 'iw_n_components': 80, 'iw_logistic_c': 0.008174019381599248, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:31:44,925] Trial 54 finished with value: 0.2125778813422575 and parameters: {'alpha': 338873.0092231402, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.004041666533222421, 'iw_n_components': 80, 'iw_logistic_c': 0.002547507104097764, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:34:59,027] Trial 55 finished with value: 0.20024138464721714 and parameters: {'alpha': 337842.69700524537, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0036534219710631075, 'iw_n_components': 80, 'iw_logistic_c': 0.06847860532960783, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 02:38:08,161] Trial 56 finished with value: 0.21533807164677404 and parameters: {'alpha': 382035.5895317374, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004456847405355649, 'iw_n_components': 80, 'iw_logistic_c': 0.000797092155410734, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.21533807164677404.
[I 2026-05-04 02:41:15,314] Trial 57 finished with value: 0.20749731969861607 and parameters: {'alpha': 381972.84827736655, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.006294041670738318, 'iw_n_components': 80, 'iw_logistic_c': 9.775915273361071e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.21533807164677404.
[I 2026-05-04 02:44:24,510] Trial 58 finished with value: 0.21401808733176889 and parameters: {'alpha': 218833.23455107954, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004391465416237201, 'iw_n_components': 80, 'iw_logistic_c': 0.0004460215102720728, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 56 with value: 0.21533807164677404.
