permutation_index,source_island,phi_running,rank_running,source_island_name,target_island,trait,repeat,split_seed
19,14,0.1121142875109749,3,Lauvøya,0,thr_tarsus,0,14
20,1,-0.0486086571654486,12,Myken,0,thr_tarsus,0,14
20,2,0.1204491425442271,1,Træna,0,thr_tarsus,0,14
20,3,0.118327950101086,2,Selvær,0,thr_tarsus,0,14
20,4,0.0011605087389369,8,Gjerøy,0,thr_tarsus,0,14
20,5,-0.1901281900540458,14,Hestmannøy,0,thr_tarsus,0,14
20,6,0.1009845916415147,4,Indre Kvarøy,0,thr_tarsus,0,14
20,7,-0.0159151245419273,10,Onøy og Lurøy,0,thr_tarsus,0,14
20,8,0.0612337600757357,6,Lovund,0,thr_tarsus,0,14
20,9,0.0236471423837172,7,Sleneset,0,thr_tarsus,0,14
20,10,-0.0148375665667189,9,Aldra,0,thr_tarsus,0,14
20,11,0.0923530515477346,5,Leka,0,thr_tarsus,0,14
20,12,-0.0198178546448562,11,Vega,0,thr_tarsus,0,14
20,13,-0.0784802262556233,13,Vikna,0,thr_tarsus,0,14
20,14,0.1086724045831776,3,Lauvøya,0,thr_tarsus,0,14
21,1,-0.0474611836650043,12,Myken,0,thr_tarsus,0,14
21,2,0.1173324802670557,1,Træna,0,thr_tarsus,0,14
21,3,0.1149595245530612,2,Selvær,0,thr_tarsus,0,14
21,4,0.0049001197784739,8,Gjerøy,0,thr_tarsus,0,14
21,5,-0.1880986154440566,14,Hestmannøy,0,thr_tarsus,0,14
21,6,0.1041247501067392,4,Indre Kvarøy,0,thr_tarsus,0,14
21,7,-0.0144367905374458,9,Onøy og Lurøy,0,thr_tarsus,0,14
21,8,0.0598956460974317,6,Lovund,0,thr_tarsus,0,14
21,9,0.0229490304755093,7,Sleneset,0,thr_tarsus,0,14
21,10,-0.0154211187769956,10,Aldra,0,thr_tarsus,0,14
21,11,0.0902583507190765,5,Leka,0,thr_tarsus,0,14
21,12,-0.0191472679906058,11,Vega,0,thr_tarsus,0,14
21,13,-0.0758045952601354,13,Vikna,0,thr_tarsus,0,14
21,14,0.1049906020644055,3,Lauvøya,0,thr_tarsus,0,14
22,1,-0.0464061120791854,12,Myken,0,thr_tarsus,0,14
22,2,0.115794493808262,1,Træna,0,thr_tarsus,0,14
22,3,0.1108497234706476,2,Selvær,0,thr_tarsus,0,14
22,4,0.0061019579794865,8,Gjerøy,0,thr_tarsus,0,14
22,5,-0.1896797654770274,14,Hestmannøy,0,thr_tarsus,0,14
22,6,0.110220594555398,3,Indre Kvarøy,0,thr_tarsus,0,14
22,7,-0.0109917438617451,9,Onøy og Lurøy,0,thr_tarsus,0,14
22,8,0.0585995363286425,6,Lovund,0,thr_tarsus,0,14
22,9,0.0223014104392049,7,Sleneset,0,thr_tarsus,0,14
22,10,-0.0152375052397913,10,Aldra,0,thr_tarsus,0,14
22,11,0.0887872839119075,5,Leka,0,thr_tarsus,0,14
22,12,-0.0196783096681567,11,Vega,0,thr_tarsus,0,14
22,13,-0.0732724853521188,13,Vikna,0,thr_tarsus,0,14
22,14,0.1016518535719849,4,Lauvøya,0,thr_tarsus,0,14
23,1,-0.0453863657935579,12,Myken,0,thr_tarsus,0,14
23,2,0.1133385589467788,1,Træna,0,thr_tarsus,0,14
23,3,0.1083182421060969,3,Selvær,0,thr_tarsus,0,14
23,4,0.007621748491534,8,Gjerøy,0,thr_tarsus,0,14
23,5,-0.1829571115221112,14,Hestmannøy,0,thr_tarsus,0,14
23,6,0.1083879483239678,2,Indre Kvarøy,0,thr_tarsus,0,14
23,7,-0.0099848539467897,9,Onøy og Lurøy,0,thr_tarsus,0,14
23,8,0.0584387812626489,6,Lovund,0,thr_tarsus,0,14
23,9,0.0217727813567838,7,Sleneset,0,thr_tarsus,0,14
23,10,-0.0148968351447886,10,Aldra,0,thr_tarsus,0,14
23,11,0.0863989185470415,5,Leka,0,thr_tarsus,0,14
23,12,-0.0194284372364006,11,Vega,0,thr_tarsus,0,14
23,13,-0.0711998187212072,13,Vikna,0,thr_tarsus,0,14
23,14,0.0986173757175129,4,Lauvøya,0,thr_tarsus,0,14
24,1,-0.0473973473001197,12,Myken,0,thr_tarsus,0,14
24,2,0.1111283388632421,2,Træna,0,thr_tarsus,0,14
24,3,0.1149392393277132,1,Selvær,0,thr_tarsus,0,14
24,4,0.0058248171322127,8,Gjerøy,0,thr_tarsus,0,14
24,5,-0.1818355780401351,14,Hestmannøy,0,thr_tarsus,0,14
24,6,0.1097915138834956,3,Indre Kvarøy,0,thr_tarsus,0,14
24,7,-0.010794238454782,9,Onøy og Lurøy,0,thr_tarsus,0,14
24,8,0.0583810654804709,6,Lovund,0,thr_tarsus,0,14
24,9,0.0290911719887754,7,Sleneset,0,thr_tarsus,0,14
24,10,-0.0146018286115715,10,Aldra,0,thr_tarsus,0,14
24,11,0.084094203576577,5,Leka,0,thr_tarsus,0,14
24,12,-0.0244750291068801,11,Vega,0,thr_tarsus,0,14
24,13,-0.0708730648156832,13,Vikna,0,thr_tarsus,0,14
24,14,0.0957676684641942,4,Lauvøya,0,thr_tarsus,0,14
25,1,-0.0511390821360965,12,Myken,0,thr_tarsus,0,14
25,2,0.1092019148647364,3,Træna,0,thr_tarsus,0,14
25,3,0.126610785778879,1,Selvær,0,thr_tarsus,0,14
25,4,0.0029256795443661,8,Gjerøy,0,thr_tarsus,0,14
25,5,-0.1812116097485259,14,Hestmannøy,0,thr_tarsus,0,14
25,6,0.1136064164127578,2,Indre Kvarøy,0,thr_tarsus,0,14
25,7,-0.0113682494969913,9,Onøy og Lurøy,0,thr_tarsus,0,14
25,8,0.0570442360978457,6,Lovund,0,thr_tarsus,0,14
25,9,0.0290665320067838,7,Sleneset,0,thr_tarsus,0,14
25,10,-0.0150773242844789,10,Aldra,0,thr_tarsus,0,14
25,11,0.0822961724124793,5,Leka,0,thr_tarsus,0,14
25,12,-0.0279405632715761,11,Vega,0,thr_tarsus,0,14
25,13,-0.0703750854610171,13,Vikna,0,thr_tarsus,0,14
25,14,0.0954011096683473,4,Lauvøya,0,thr_tarsus,0,14
26,1,-0.0502082978796329,12,Myken,0,thr_tarsus,0,14
26,2,0.1080486288435096,3,Træna,0,thr_tarsus,0,14
26,3,0.1373845209645705,1,Selvær,0,thr_tarsus,0,14
26,4,0.004469198288986,8,Gjerøy,0,thr_tarsus,0,14
26,5,-0.1868769061112763,14,Hestmannøy,0,thr_tarsus,0,14
26,6,0.1131928211301105,2,Indre Kvarøy,0,thr_tarsus,0,14
26,7,-0.0107933280559165,9,Onøy og Lurøy,0,thr_tarsus,0,14
26,8,0.0559542939543954,6,Lovund,0,thr_tarsus,0,14
26,9,0.0283621994518684,7,Sleneset,0,thr_tarsus,0,14
26,10,-0.0173642121649672,10,Aldra,0,thr_tarsus,0,14
26,11,0.0804330458012297,5,Leka,0,thr_tarsus,0,14
