n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,trait,repeat,split_seed
5,1874,0.3170759027545848,0.4621163010597229,shapley_mean,-1,1,thr_tarsus,2,2014
6,2131,0.2730924116715734,0.4623207747936249,shapley_mean,-1,1,thr_tarsus,2,2014
7,2417,0.2706666936466343,0.4593662917613983,shapley_mean,-1,1,thr_tarsus,2,2014
8,3105,0.2312851800574331,0.4650346934795379,shapley_mean,-1,1,thr_tarsus,2,2014
9,3501,0.2434806458184616,0.4628356397151947,shapley_mean,-1,1,thr_tarsus,2,2014
10,4084,0.2398768672268092,0.4630811214447021,shapley_mean,-1,1,thr_tarsus,2,2014
11,4667,0.2735848860015071,0.4584010243415832,shapley_mean,-1,1,thr_tarsus,2,2014
12,5222,0.2750266028814679,0.4571093320846557,shapley_mean,-1,1,thr_tarsus,2,2014
13,5385,0.267545647706196,0.4585391879081726,shapley_mean,-1,1,thr_tarsus,2,2014
14,5558,0.2893465749611059,0.4550427198410034,shapley_mean,-1,1,thr_tarsus,2,2014
1,117,0.0478953307369414,0.5310664772987366,shapley_mean,-1,1,thr_tarsus,3,3014
2,1180,0.1765218211813947,0.5139004588127136,shapley_mean,-1,1,thr_tarsus,3,3014
3,1528,0.2155704544974939,0.5117352604866028,shapley_mean,-1,1,thr_tarsus,3,3014
4,1722,0.3882556249140589,0.4860322177410126,shapley_mean,-1,1,thr_tarsus,3,3014
5,1979,0.334227532205622,0.4857798814773559,shapley_mean,-1,1,thr_tarsus,3,3014
6,2562,0.3365483054974119,0.4836564660072326,shapley_mean,-1,1,thr_tarsus,3,3014
7,2714,0.3510689478030073,0.479748398065567,shapley_mean,-1,1,thr_tarsus,3,3014
8,3297,0.3563912469125656,0.4793930649757385,shapley_mean,-1,1,thr_tarsus,3,3014
9,3985,0.3429070685609881,0.4827387928962707,shapley_mean,-1,1,thr_tarsus,3,3014
10,4381,0.3559622952527441,0.4805197715759277,shapley_mean,-1,1,thr_tarsus,3,3014
11,4544,0.3466991692161053,0.4817128479480743,shapley_mean,-1,1,thr_tarsus,3,3014
12,4717,0.3659566675584731,0.478283941745758,shapley_mean,-1,1,thr_tarsus,3,3014
13,5272,0.3869777828541733,0.4750009477138519,shapley_mean,-1,1,thr_tarsus,3,3014
14,5558,0.4019593410395808,0.4688180983066559,shapley_mean,-1,1,thr_tarsus,3,3014
1,152,0.0335551170863287,0.5034629106521606,shapley_mean,-1,1,thr_tarsus,4,4014
2,269,0.0802555369389863,0.5062694549560547,shapley_mean,-1,1,thr_tarsus,4,4014
3,463,0.3015950329912963,0.4779519140720367,shapley_mean,-1,1,thr_tarsus,4,4014
4,636,0.3094962266472175,0.4772565364837646,shapley_mean,-1,1,thr_tarsus,4,4014
5,1699,0.4066946669025906,0.4628772735595703,shapley_mean,-1,1,thr_tarsus,4,4014
6,2282,0.4004696614836396,0.460116982460022,shapley_mean,-1,1,thr_tarsus,4,4014
7,2445,0.3809116713738751,0.4625689685344696,shapley_mean,-1,1,thr_tarsus,4,4014
8,2841,0.3776871535290486,0.4607771039009094,shapley_mean,-1,1,thr_tarsus,4,4014
9,3098,0.3141542786626131,0.4616380929946899,shapley_mean,-1,1,thr_tarsus,4,4014
10,3653,0.2947293392620136,0.4630666375160217,shapley_mean,-1,1,thr_tarsus,4,4014
11,4236,0.294349981417577,0.4632879495620727,shapley_mean,-1,1,thr_tarsus,4,4014
12,4522,0.2920417240288212,0.4623137414455414,shapley_mean,-1,1,thr_tarsus,4,4014
