trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05228,8N05228,12,Southern 2,4090,-0.006973933611317981,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05229,8N05229,12,Southern 2,3664,-0.005915276876456632,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05230,8N05230,12,Southern 2,3337,-0.004896949086867302,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05231,8N05231,12,Southern 2,3145,-0.0041912841660851925,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05232,8N05232,12,Southern 2,3482,-0.005328832824921971,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05233,8N05233,12,Southern 2,972,0.0034804842174871566,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05234,8N05234,12,Southern 2,2851,-0.0031227194156260535,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05235,8N05235,12,Southern 2,866,0.004180027088614134,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05236,8N05236,12,Southern 2,543,0.007871447963846319,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05237,8N05237,13,Southern 3,3727,-0.006104195072609261,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05238,8N05238,13,Southern 3,3403,-0.00509873021585733,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05239,8N05239,13,Southern 3,4574,-0.008076251025970732,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05240,8N05240,13,Southern 3,4660,-0.008228725490755326,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05241,8N05241,13,Southern 3,4551,-0.00802356651704285,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05242,8N05242,13,Southern 3,4675,-0.008257911481873974,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05243,8N05243,13,Southern 3,2968,-0.0035290415659794314,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05245,8N05245,13,Southern 3,4842,-0.00862854070726161,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05246,8N05246,13,Southern 3,4915,-0.008884535360370012,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05247,8N05247,13,Southern 3,3696,-0.006011160758706776,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05248,8N05248,13,Southern 3,3613,-0.005753170459193511,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05249,8N05249,13,Southern 3,5095,-0.00939381230645872,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05250,8N05250,13,Southern 3,5356,-0.010548631144200247,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05251,8N05251,13,Southern 3,5002,-0.009139051303966625,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05252,8N05252,13,Southern 3,4643,-0.008204040416490208,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05253,8N05253,13,Southern 3,4630,-0.008182683324833573,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05254,8N05254,13,Southern 3,4838,-0.008623609511301469,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05255,8N05255,13,Southern 3,4548,-0.008013579615883839,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05256,8N05256,13,Southern 3,3960,-0.006684709869774447,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05257,8N05257,13,Southern 3,4468,-0.007843651218375025,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05258,8N05258,13,Southern 3,3904,-0.006545253861913571,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05259,8N05259,13,Southern 3,3899,-0.006530812659589729,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05260,8N05260,13,Southern 3,4057,-0.006906307197753646,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05261,8N05261,13,Southern 3,4486,-0.007893152054946097,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05262,8N05262,13,Southern 3,3459,-0.005240406528108811,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05263,8N05263,13,Southern 3,3477,-0.005315450664808836,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05264,8N05264,13,Southern 3,4821,-0.00857928145044734,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05265,8N05265,13,Southern 3,3636,-0.005840017133586211,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05266,8N05266,13,Southern 3,4388,-0.0076627921272645,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05267,8N05267,13,Southern 3,4659,-0.00822779758599198,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05268,8N05268,13,Southern 3,5024,-0.009190988724441577,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05269,8N05269,13,Southern 3,4062,-0.0069180139585524126,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05270,8N05270,13,Southern 3,4170,-0.007167022235556359,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05271,8N05271,13,Southern 3,4585,-0.008097403969620807,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05272,8N05272,13,Southern 3,4130,-0.007080266084091935,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05273,8N05273,13,Southern 3,4384,-0.007654328885682969,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05274,8N05274,13,Southern 3,4992,-0.009112911343700434,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05275,8N05275,13,Southern 3,3860,-0.006450519034804053,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05276,8N05276,13,Southern 3,4383,-0.007653529140738462,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05277,8N05277,13,Southern 3,3934,-0.006608666035829242,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05278,8N05278,13,Southern 3,4788,-0.008507060551209202,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05279,8N05279,13,Southern 3,4297,-0.007469427861496242,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05280,8N05280,13,Southern 3,4325,-0.007525056589657408,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05281,8N05281,13,Southern 3,4787,-0.008503065037877736,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05282,8N05282,13,Southern 3,3930,-0.006594439595253614,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05283,8N05283,13,Southern 3,3897,-0.006517805378434465,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05284,8N05284,13,Southern 3,4530,-0.007989751835450405,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05285,8N05285,13,Southern 3,3835,-0.006385695577593044,1.0
