trait,snp_experiment,snp_repeat,snp_seed,snp_selection_mode,num_snps_requested,n_features_available,n_features_fit,alpha,target_column,eval_target_column,standardize_features,min_count,fit_time_seconds,fold,pearson_r,test_island,test_island_code,test_island_original_label,n_train,n_test
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.608617299993057,13,0.14752595319020503,Vega,12,61,5254,396
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.227962900011335,14,0.12507043601438458,Vikna,13,63,5067,583
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.244335700001102,15,0.1546666525484414,Lauvøya,14,67,4962,688
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.97552480000013,1,0.34675725879894975,Nesøy,0,20,5533,117
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.91919849999249,2,0.3079463403844994,Myken,1,22,5558,92
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.6535032000101637,3,0.20829053905037911,Træna,2,23,5364,286
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.8254156000039075,4,0.2368519359183208,Selvær,3,24,5456,194
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.47048519999953,5,0.23341764641516743,Gjerøy,4,26,5095,555
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.217121699999552,6,0.21573388310551708,Hestmannøy,5,27,4587,1063
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.6173546999925748,7,0.31925687712073364,Indre Kvarøy,6,28,5302,348
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.00704839998798,8,0.24688952736598133,Onøy og Lurøy,7,33,5393,257
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.1778461999929277,9,0.39667467640361703,Lovund,8,34,5498,152
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.8623722000047565,10,0.3009854294291931,Sleneset,9,35,5487,163
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.81189290000475,11,0.21874102333690856,Aldra,10,38,5477,173
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.7149195999954827,12,0.20328570406270124,Leka,11,60,5067,583
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.6283331000013277,13,0.08015372333635308,Vega,12,61,5254,396
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4357107000105316,14,0.14899134429303013,Vikna,13,63,5067,583
thr_tarsus,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.2482774000091013,15,0.11978418565837795,Lauvøya,14,67,4962,688
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.8703469000029145,1,0.2900614874182273,Nesøy,0,20,5533,117
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.7447491999919293,2,0.3703132960127451,Myken,1,22,5558,92
thr_tarsus,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.5704466000024695,3,0.2375241661156619,Træna,2,23,5364,286
