trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist,weight
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747555,8747555,5,Hestmannøy,2793,85.68502807617188,0.7482294126056558
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747563,8747563,5,Hestmannøy,3106,117.19509887695312,0.5765121515975051
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747564,8747564,5,Hestmannøy,525,23.53329086303711,1.2513156900182087
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747569,8747569,9,Sleneset,2681,79.40507507324219,0.7881352078958802
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747573,8747573,9,Sleneset,1361,40.9375,1.0834969365175127
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747574,8747574,9,Sleneset,2079,57.33966827392578,0.9459956782852318
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747575,8747575,9,Sleneset,1340,40.606937408447266,1.086464488953515
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747583,8747583,2,Træna,599,25.003313064575195,1.2361882953132308
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747588,8747588,2,Træna,777,28.54364585876465,1.2005024561003026
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747590,8747590,2,Træna,674,26.447263717651367,1.2215071588446729
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747599,8747599,8,Lovund,1158,36.54547882080078,1.1235946006198467
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747603,8747603,4,Gjerøy,77,11.874795913696289,1.3780333930580946
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747604,8747604,4,Gjerøy,2685,79.66077423095703,0.7864695661637215
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747606,8747606,5,Hestmannøy,1845,51.59454345703125,0.992049565333025
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747608,8747608,5,Hestmannøy,1641,47.0675048828125,1.0299129743131252
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747610,8747610,7,Onøy og Lurøy,942,32.04690933227539,1.1662042039857152
