ringnr,island,score,rank
8800489,10,-0.0003357246605446562,129
8N73696,13,-0.0003356467186677037,130
8N14808,5,-0.00033564116347406525,131
8M72666,5,-0.00033553097091498785,132
8L89276,5,-0.00033540877120685764,133
8N73311,15,-0.00033524955324537586,134
8P14992,14,-0.0003346411176607944,135
8732286,8,-0.00033426773552491795,136
8681356,5,-0.0003339965351187857,137
8P14847,14,-0.0003333553686388768,138
8939184,1,-0.0003326855967316078,139
8L64915,4,-0.00033254095978918485,140
8N42273,5,-0.00033093934507633094,141
8939582,10,-0.0003296362883702386,142
8800427,5,-0.0003289344458607957,143
8N73215,12,-0.0003278844178566942,144
8L89547,12,-0.0003277816686022561,145
8N73515,7,-0.00032589794500381686,146
8N27902,1,-0.0003254505463701207,147
8N05618,14,-0.0003249345209042076,148
8M72708,6,-0.0003246921278332593,149
8981604,10,-0.00032432741681986954,150
8N73460,11,-0.0003241194317524787,151
8N87957,13,-0.0003226478165743174,152
8M31774,11,-0.0003221417391614523,153
8943880,5,-0.0003217823104932904,154
8939704,6,-0.0003215910928702215,155
8118433,4,-0.00032062194441095926,156
8M71492,13,-0.00032026875123847276,157
8P14063,5,-0.00032013086092774756,158
8943489,7,-0.00031972713259165175,159
8981962,2,-0.0003188091541233007,160
8N05644,14,-0.0003187869006069377,161
8N06474,12,-0.0003184380548191257,162
8730535,5,-0.0003182113741786452,163
8M72987,4,-0.0003181987208336068,164
8N06481,12,-0.0003164498193655163,165
8N27932,5,-0.0003164415755918526,166
8857284,10,-0.0003164374957123073,167
8939119,10,-0.00031620114168617874,168
8L26578,6,-0.00031588744786859024,169
8N27119,7,-0.00031571108047501184,170
8816496,1,-0.0003149170042888727,171
8N73526,4,-0.00031471307374886237,172
8N13423,9,-0.00031467992266698275,173
8800090,6,-0.00031437217330676503,174
8981007,5,-0.0003143147996524931,175
8816418,4,-0.0003142301557090832,176
8N73610,14,-0.0003142010718875099,177
8800533,10,-0.0003139513883070322,178
8M31634,4,-0.0003134016878902912,179
8N05460,5,-0.0003127444406345603,180
8M31504,4,-0.0003126129558950197,181
8L89645,6,-0.00031256460897566285,182
8P11526,15,-0.0003115178260486573,183
8N05442,6,-0.0003113856855634367,184
8N87999,13,-0.00031094037694856524,185
8N72664,5,-0.0003100603225902887,186
8N06359,5,-0.00030998466900200583,187
8N28402,2,-0.000309797098452691,188
8N05131,12,-0.00030799972228123806,189
8L30164,12,-0.0003075148524658289,190
8939733,5,-0.00030736508961126674,191
8309175,4,-0.0003070025313718361,192
8N42996,5,-0.0003064395543788123,193
8M31304,4,-0.0003061389634240186,194
8N73573,6,-0.0003056894965993706,195
8N87515,11,-0.0003056573841604404,196
8168642,5,-0.00030475273342744913,197
8N14531,11,-0.000304608307487797,198
8M31562,5,-0.0003043504818833753,199
8573856,4,-0.00030289002461358905,200
8800663,12,-0.0003013192235812312,201
8L64598,12,-0.0003013097466464387,202
8M31109,12,-0.0003005084035976324,203
8M31824,12,-0.0003004528371093329,204
8N13642,14,-0.0003003149395226501,205
8L30363,10,-0.00030015143056516536,206
8M31507,4,-0.0002997112678713165,207
8L52695,9,-0.0002988996011481504,208
8681175,4,-0.00029780418844893575,209
8L52419,4,-0.00029741473190370016,210
8981220,11,-0.0002973798236780567,211
8N87553,11,-0.00029675865334866103,212
8P26700,7,-0.0002966110441775527,213
8M31297,6,-0.000294437151751481,214
8L89655,5,-0.0002943051567854127,215
8651899,5,-0.00029425470529531594,216
8N87592,11,-0.0002929897400463233,217
8732656,5,-0.0002926994611698319,218
8M72955,4,-0.00029254014225443825,219
8800168,10,-0.0002923859683505725,220
8M72420,13,-0.0002923173833551118,221
8N14968,7,-0.00029173997609177604,222
8747229,5,-0.00029150318914616946,223
8L52204,8,-0.00029127362176950555,224
8N73678,13,-0.0002906801219069166,225
8N87730,5,-0.000290553705781349,226
8816486,5,-0.00029039342916803434,227
8M31653,11,-0.00028973875851079356,228
8L89434,5,-0.00028971817573619774,229
8N72695,11,-0.0002893618275265908,230
8934302,5,-0.0002883370734707569,231
8747548,10,-0.0002871432952815667,232
8N73442,11,-0.00028693577223748434,233
8P11635,2,-0.00028613690665224567,234
