trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
thr_wing,0,Nesøy,5,5014,4,1037,0.14197015704800076,1.2801952362060547,random_individual,1
thr_wing,0,Nesøy,5,5014,5,1620,-0.0019389772528975013,1.3347995281219482,random_individual,1
thr_wing,0,Nesøy,5,5014,6,2201,-0.0010294166654513286,1.350895643234253,random_individual,1
thr_wing,0,Nesøy,5,5014,7,3256,0.0845626924200891,1.3150889873504639,random_individual,1
thr_wing,0,Nesøy,5,5014,8,3542,0.07166536580652089,1.312086582183838,random_individual,1
thr_wing,0,Nesøy,5,5014,9,3891,0.13189234418184836,1.2825546264648438,random_individual,1
thr_wing,0,Nesøy,5,5014,10,4288,0.12862587634177644,1.2838162183761597,random_individual,1
thr_wing,0,Nesøy,5,5014,11,4544,0.11638118466689097,1.311119556427002,random_individual,1
thr_wing,0,Nesøy,5,5014,12,5232,0.13633690886910424,1.3070369958877563,random_individual,1
thr_wing,0,Nesøy,5,5014,13,5423,0.15777641266059234,1.2996853590011597,random_individual,1
thr_wing,0,Nesøy,5,5014,14,5515,0.1701811652599922,1.2922320365905762,random_individual,1
thr_wing,0,Nesøy,5,5014,1,173,-0.10829079569997446,1.3655704259872437,random_individual,2
thr_wing,0,Nesøy,5,5014,2,324,0.11535609289618036,1.3273460865020752,random_individual,2
thr_wing,0,Nesøy,5,5014,3,484,0.17728122002284227,1.3102420568466187,random_individual,2
thr_wing,0,Nesøy,5,5014,4,1037,0.1931968046542852,1.3308775424957275,random_individual,2
thr_wing,0,Nesøy,5,5014,5,1620,0.13019054640889463,1.3195512294769287,random_individual,2
thr_wing,0,Nesøy,5,5014,6,2201,0.15443999876758008,1.282198190689087,random_individual,2
thr_wing,0,Nesøy,5,5014,7,3256,0.19605949491541225,1.3029533624649048,random_individual,2
thr_wing,0,Nesøy,5,5014,8,3542,0.1869185775625484,1.3115826845169067,random_individual,2
thr_wing,0,Nesøy,5,5014,9,3891,0.12036488227467458,1.3262674808502197,random_individual,2
thr_wing,0,Nesøy,5,5014,10,4288,0.1445602951496525,1.3068046569824219,random_individual,2
thr_wing,0,Nesøy,5,5014,11,4544,0.11574291933499561,1.3237136602401733,random_individual,2
thr_wing,0,Nesøy,5,5014,12,5232,0.14625775697231516,1.307166337966919,random_individual,2
thr_wing,0,Nesøy,5,5014,13,5423,0.16501520282515583,1.3013843297958374,random_individual,2
thr_wing,0,Nesøy,5,5014,14,5515,0.1701811652599922,1.2922320365905762,random_individual,2
thr_wing,0,Nesøy,6,6014,1,256,-0.05660665771849,1.3447861671447754,random_individual,0
thr_wing,0,Nesøy,6,6014,2,1311,-0.04351708228029952,1.3513398170471191,random_individual,0
thr_wing,0,Nesøy,6,6014,3,1708,0.013163330026846776,1.3419275283813477,random_individual,0
thr_wing,0,Nesøy,6,6014,4,2289,0.08202910934220926,1.3281047344207764,random_individual,0
thr_wing,0,Nesøy,6,6014,5,2449,0.0840714176074744,1.3142530918121338,random_individual,0
thr_wing,0,Nesøy,6,6014,6,3032,0.08403536330435103,1.2869863510131836,random_individual,0
thr_wing,0,Nesøy,6,6014,7,3720,0.07830901581833001,1.3121198415756226,random_individual,0
thr_wing,0,Nesøy,6,6014,8,4006,0.0550636697203867,1.3350175619125366,random_individual,0
thr_wing,0,Nesøy,6,6014,9,4098,0.05426840867123642,1.3293813467025757,random_individual,0
thr_wing,0,Nesøy,6,6014,10,4651,0.09247999206014983,1.324605941772461,random_individual,0
thr_wing,0,Nesøy,6,6014,11,4824,0.08975365251751553,1.3295509815216064,random_individual,0
thr_wing,0,Nesøy,6,6014,12,5173,0.11030045190310774,1.316252589225769,random_individual,0
thr_wing,0,Nesøy,6,6014,13,5364,0.14087293239216273,1.298518419265747,random_individual,0
thr_wing,0,Nesøy,6,6014,14,5515,0.1424953254938176,1.2936623096466064,random_individual,0
thr_wing,0,Nesøy,6,6014,1,256,-0.048764888088131314,1.3150591850280762,random_individual,1
thr_wing,0,Nesøy,6,6014,2,1311,0.011021965180563278,1.2949488162994385,random_individual,1
thr_wing,0,Nesøy,6,6014,3,1708,-0.024201638558066726,1.32942533493042,random_individual,1
thr_wing,0,Nesøy,6,6014,4,2289,-0.010423499747783936,1.3391973972320557,random_individual,1
thr_wing,0,Nesøy,6,6014,5,2449,-0.012720781295549268,1.347977638244629,random_individual,1
thr_wing,0,Nesøy,6,6014,6,3032,0.08539469785495427,1.3164769411087036,random_individual,1
thr_wing,0,Nesøy,6,6014,7,3720,0.09898045113297192,1.2959455251693726,random_individual,1
