trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,8,Lovund,10,Aldra,173,0.049577034335492,0.0591785802545146,0.0002865724528063,0.0003420727182341,10,2
thr_wing,8,Lovund,11,Leka,581,0.0097817928842894,0.0365679644436606,1.683613233096297e-05,6.293969783762596e-05,10,9
thr_wing,8,Lovund,12,Vega,397,-0.0387156793065644,0.0461435676123545,-9.752060278731598e-05,0.0001162306488976,10,14
thr_wing,8,Lovund,13,Vikna,583,0.0296844299966287,0.0632682507113168,5.091668953109568e-05,0.0001085218708598,10,6
thr_wing,8,Lovund,14,Lauvøya,688,-0.0185032516219904,0.0516111177531617,-2.6894261078474497e-05,7.501615952494438e-05,10,10
thr_wing,9,Sleneset,0,Nesøy,118,-0.0370790918209406,0.0442026401164961,-0.0003142295917028,0.000374598645055,10,14
thr_wing,9,Sleneset,1,Myken,92,0.0336278239887403,0.0423911340953668,0.0003655198259645,0.0004607731966887,10,1
thr_wing,9,Sleneset,2,Træna,286,0.0537203169298517,0.1187269407997061,0.0001878332759785,0.0004151291636353,10,3
thr_wing,9,Sleneset,3,Selvær,191,0.0166969627401818,0.0592063293315005,8.74186530899572e-05,0.0003099807818403,10,4
thr_wing,9,Sleneset,4,Gjerøy,553,-0.0070487762349424,0.0653785976870528,-1.2746430804597609e-05,0.0001182253122731,10,8
thr_wing,9,Sleneset,5,Hestmannøy,1055,0.0085778282296285,0.1014090632362086,8.130642871685819e-06,9.612233482105086e-05,10,7
thr_wing,9,Sleneset,6,Indre Kvarøy,349,-0.0060381559040641,0.0714770543609441,-1.730130631537018e-05,0.0002048053133551,10,9
thr_wing,9,Sleneset,7,Onøy og Lurøy,256,-0.0192260900007461,0.0430566989624685,-7.510191406541448e-05,0.0001681902303221,10,13
thr_wing,9,Sleneset,8,Lovund,151,0.0482660236600433,0.1088295495256333,0.0003196425407949,0.0007207254935472,10,2
thr_wing,9,Sleneset,10,Aldra,173,-0.0126141996272457,0.0321071998694014,-7.291444871240289e-05,0.0001855907506901,10,12
thr_wing,9,Sleneset,11,Leka,581,-0.010661980133216,0.0471720242283701,-1.835108456663684e-05,8.119109161509498e-05,10,10
thr_wing,9,Sleneset,12,Vega,397,0.0102669797123354,0.0741459326781092,2.586140985474932e-05,0.0001867655734964,10,6
thr_wing,9,Sleneset,13,Vikna,583,0.0247522164051116,0.0472456423173327,4.245663191271295e-05,8.103883759405267e-05,10,5
thr_wing,9,Sleneset,14,Lauvøya,688,-0.0312683200334159,0.0457996894318898,-4.544813958345339e-05,6.65693160347236e-05,10,11
thr_wing,10,Aldra,0,Nesøy,118,0.0049078787681841,0.0629640422215093,4.159219295071327e-05,0.0005335935781483,10,8
