method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
random,500,500,0.1605616500372886,0.12613447975358782,1.0530515909194946,,0.0003211233000745772,3,Selvær,100,3,1829201244,body_mass,2,0,0.0
random,500,500,0.08896507807478388,0.26480558557112616,1.030557632446289,,0.00017793015614956775,3,Selvær,100,3,1829201244,body_mass,3,0,0.0
random,500,500,-0.03732735888461355,0.10960574317457177,1.052156925201416,,-7.465471776922709e-05,3,Selvær,100,3,1829201244,body_mass,4,0,0.0
calibration_ga,1000,1000,0.7479241805409043,-0.09371878505504999,1.0904043912887573,,0.0007479241805409042,3,Selvær,100,3,1829201244,body_mass,-1,100,756.5731569158379
pevmean_ga,1000,1000,0.31639254679067097,0.19444622580097992,1.034488320350647,18309.038621224852,0.000316392546790671,3,Selvær,100,3,1829201244,body_mass,-1,100,135.49711436382495
random,1000,1000,0.23317830075727525,0.23508524759887564,1.0286535024642944,,0.00023317830075727524,3,Selvær,100,3,1829201244,body_mass,0,0,0.0
random,1000,1000,0.16898723498646429,0.13668262371612871,1.0430428981781006,,0.0001689872349864643,3,Selvær,100,3,1829201244,body_mass,1,0,0.0
random,1000,1000,0.22039895969182513,0.03175796467602016,1.0698739290237427,,0.00022039895969182513,3,Selvær,100,3,1829201244,body_mass,2,0,0.0
random,1000,1000,0.050850779606859395,0.12292279420811328,1.045779824256897,,5.08507796068594e-05,3,Selvær,100,3,1829201244,body_mass,3,0,0.0
random,1000,1000,0.027639150167763873,0.23192509996107727,1.0173273086547852,,2.7639150167763872e-05,3,Selvær,100,3,1829201244,body_mass,4,0,0.0
calibration_ga,2000,2000,0.6959545905710394,0.0654329485398201,1.05876624584198,,0.0003479772952855197,3,Selvær,100,3,1829201244,body_mass,-1,100,1589.7633172979113
pevmean_ga,2000,2000,0.16100533123811223,0.21108067548142678,1.033627986907959,17702.12129709997,8.050266561905611e-05,3,Selvær,100,3,1829201244,body_mass,-1,100,361.4422353601549
random,2000,2000,0.1756823145074919,0.20507730124748866,1.0313249826431274,,8.784115725374594e-05,3,Selvær,100,3,1829201244,body_mass,0,0,0.0
random,2000,2000,0.1035514858991786,0.19842157444217737,1.0240670442581177,,5.1775742949589306e-05,3,Selvær,100,3,1829201244,body_mass,1,0,0.0
random,2000,2000,0.17120860002680888,0.16794224052808082,1.0504982471466064,,8.560430001340443e-05,3,Selvær,100,3,1829201244,body_mass,2,0,0.0
random,2000,2000,0.014980342063536744,0.2693018308293219,1.0139280557632446,,7.490171031768372e-06,3,Selvær,100,3,1829201244,body_mass,3,0,0.0
random,2000,2000,0.14223375324816584,0.3104684073175009,0.9973494410514832,,7.111687662408292e-05,3,Selvær,100,3,1829201244,body_mass,4,0,0.0
calibration_ga,3000,3000,0.6963645174646202,0.13837424975723536,1.0565032958984375,,0.00023212150582154007,3,Selvær,100,3,1829201244,body_mass,-1,100,2445.6710173911415
