n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
3,12,4559,0.1965388059616089,1.439200758934021,random_individual,5,0
4,11,4073,0.21823284029960632,1.4639331102371216,random_individual,5,0
5,10,3879,0.25305283069610596,1.4650002717971802,random_individual,5,0
6,9,3721,0.1741303652524948,1.5065544843673706,random_individual,5,0
7,8,2643,0.21518903970718384,1.5169225931167603,random_individual,5,0
8,7,2246,0.15085171163082123,1.548315405845642,random_individual,5,0
9,6,1663,0.20158955454826355,1.3935900926589966,random_individual,5,0
10,5,1079,0.21031421422958374,1.324248194694519,random_individual,5,0
11,4,906,0.09244021773338318,1.4129523038864136,random_individual,5,0
12,3,740,0.17236438393592834,1.3591676950454712,random_individual,5,0
13,2,448,0.28549206256866455,1.2569106817245483,random_individual,5,0
14,1,356,0.3154453635215759,1.3264820575714111,random_individual,5,0
0,15,5578,0.15440210700035095,1.5184136629104614,random_individual,6,0
1,14,5020,0.22527851164340973,1.3607326745986938,random_individual,6,0
2,13,4761,0.18169164657592773,1.44855535030365,random_individual,6,0
3,12,4559,0.16734057664871216,1.4948567152023315,random_individual,6,0
4,11,4073,0.27653300762176514,1.3541103601455688,random_individual,6,0
5,10,3879,0.2464456409215927,1.4076175689697266,random_individual,6,0
6,9,3721,0.2509003281593323,1.3825634717941284,random_individual,6,0
7,8,2643,0.1498899757862091,1.368251919746399,random_individual,6,0
8,7,2246,0.32364514470100403,1.2554811239242554,random_individual,6,0
9,6,1663,0.18063625693321228,1.407590389251709,random_individual,6,0
10,5,1079,0.19922316074371338,1.3222930431365967,random_individual,6,0
11,4,906,0.27298954129219055,1.29721200466156,random_individual,6,0
12,3,740,0.31141698360443115,1.3036696910858154,random_individual,6,0
13,2,448,-0.1122111901640892,1.416609764099121,random_individual,6,0
14,1,356,-0.09303607046604156,1.3981753587722778,random_individual,6,0
0,15,5578,0.19028055667877197,1.4699562788009644,random_individual,7,0
1,14,5020,0.21357838809490204,1.4320735931396484,random_individual,7,0
2,13,4761,0.24201378226280212,1.3910213708877563,random_individual,7,0
3,12,4559,0.19728146493434906,1.493552327156067,random_individual,7,0
4,11,4073,0.1645495593547821,1.533068299293518,random_individual,7,0
5,10,3879,0.1456332951784134,1.5328491926193237,random_individual,7,0
6,9,3721,0.14313292503356934,1.6106408834457397,random_individual,7,0
7,8,2643,0.08203679323196411,1.5217550992965698,random_individual,7,0
8,7,2246,0.1165807917714119,1.4838773012161255,random_individual,7,0
9,6,1663,0.23428809642791748,1.3614182472229004,random_individual,7,0
10,5,1079,0.15541799366474152,1.4256715774536133,random_individual,7,0
11,4,906,0.10952980071306229,1.4163464307785034,random_individual,7,0
12,3,740,0.11136245727539062,1.384766936302185,random_individual,7,0
13,2,448,0.06279827654361725,1.4052486419677734,random_individual,7,0
14,1,356,0.07149463891983032,1.3551610708236694,random_individual,7,0
0,15,5578,0.20173470675945282,1.530633568763733,random_individual,8,0
1,14,5020,0.16150498390197754,1.4486145973205566,random_individual,8,0
2,13,4761,0.09589122980833054,1.5077056884765625,random_individual,8,0
3,12,4559,0.11385849118232727,1.5176512002944946,random_individual,8,0
4,11,4073,0.17563331127166748,1.4349199533462524,random_individual,8,0
5,10,3879,0.13327312469482422,1.488319993019104,random_individual,8,0
6,9,3721,0.13432596623897552,1.4578927755355835,random_individual,8,0
7,8,2643,0.06627406179904938,1.5555949211120605,random_individual,8,0
8,7,2246,0.0859941616654396,1.471860408782959,random_individual,8,0
9,6,1663,-0.021186131983995438,1.559095859527588,random_individual,8,0
10,5,1079,-0.02591744437813759,1.505875587463379,random_individual,8,0
11,4,906,0.03433867171406746,1.4413026571273804,random_individual,8,0
12,3,740,-0.01924290880560875,1.4647012948989868,random_individual,8,0
13,2,448,0.17129138112068176,1.3342742919921875,random_individual,8,0
14,1,356,0.13211537897586823,1.4014620780944824,random_individual,8,0
0,15,5578,0.20652225613594055,1.4316450357437134,random_individual,9,0
1,14,5020,0.2117011994123459,1.4052742719650269,random_individual,9,0
2,13,4761,0.19916746020317078,1.375669002532959,random_individual,9,0
3,12,4559,0.15389405190944672,1.4484100341796875,random_individual,9,0
4,11,4073,0.1884278655052185,1.411173701286316,random_individual,9,0
5,10,3879,0.1354723572731018,1.4355840682983398,random_individual,9,0
6,9,3721,0.18474891781806946,1.4481000900268555,random_individual,9,0
7,8,2643,0.121564581990242,1.438544750213623,random_individual,9,0
8,7,2246,0.03497612476348877,1.4945989847183228,random_individual,9,0
9,6,1663,-0.017826443538069725,1.5269780158996582,random_individual,9,0
10,5,1079,-0.05898939445614815,1.5486456155776978,random_individual,9,0
11,4,906,0.003003270598128438,1.5270353555679321,random_individual,9,0
12,3,740,-0.07332433015108109,1.5517574548721313,random_individual,9,0
13,2,448,-0.16062358021736145,1.5015721321105957,random_individual,9,0
14,1,356,-0.09869017452001572,1.468160629272461,random_individual,9,0
