target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,3,3014,2770,2770,8N42732,4,Gjerøy,1.6624075830386775e-05,2625,0.16119854468835712,50
9,Sleneset,3,3014,1674,1674,8N06470,12,Southern 2,1.6537550223029405e-05,2626,0.16119854468835712,50
9,Sleneset,3,3014,345,345,8L52392,12,Southern 2,1.650122619483177e-05,2627,0.16119854468835712,50
9,Sleneset,3,3014,2635,2635,8N28809,6,Indre Kvarøy,1.6301097851104395e-05,2628,0.16119854468835712,50
9,Sleneset,3,3014,5247,5247,8939431,4,Gjerøy,1.6285875805252537e-05,2629,0.16119854468835712,50
9,Sleneset,3,3014,1163,1163,8M72786,10,Aldra,1.6063442260185053e-05,2630,0.16119854468835712,50
9,Sleneset,3,3014,3900,3900,8P11874,14,Southern 4,1.605757997474408e-05,2631,0.16119854468835712,50
9,Sleneset,3,3014,4972,4972,8887267,6,Indre Kvarøy,1.5957020216842004e-05,2632,0.16119854468835712,50
9,Sleneset,3,3014,4960,4960,8887221,4,Gjerøy,1.5820348088636665e-05,2633,0.16119854468835712,50
9,Sleneset,3,3014,5132,5132,8934451,1,Myken,1.5736127115070497e-05,2634,0.16119854468835712,50
9,Sleneset,3,3014,4919,4919,8857405,5,Hestmannøy,1.573493180179436e-05,2635,0.16119854468835712,50
9,Sleneset,3,3014,3708,3708,8N87903,13,Southern 3,1.5554530242465926e-05,2636,0.16119854468835712,50
9,Sleneset,3,3014,2516,2516,8N27921,4,Gjerøy,1.5510377822842703e-05,2637,0.16119854468835712,50
9,Sleneset,3,3014,3849,3849,8P11552,14,Southern 4,1.538516620013322e-05,2638,0.16119854468835712,50
9,Sleneset,3,3014,4814,4814,8800469,5,Hestmannøy,1.5259527530899485e-05,2639,0.16119854468835712,50
9,Sleneset,3,3014,2684,2684,8N42264,6,Indre Kvarøy,1.5202527114112075e-05,2640,0.16119854468835712,50
