ringnr,island,score,rank
8730547,3,-5.7181109696102794e-06,275
8N14590,11,-5.715362021874171e-06,276
8747729,5,-5.70576366953901e-06,277
8P11531,15,-5.704503109882353e-06,278
8M31197,8,-5.69423173146788e-06,279
8M71332,12,-5.682229129888583e-06,280
8981274,5,-5.681140919477912e-06,281
8939093,10,-5.674968178936979e-06,282
8981723,5,-5.663911906594876e-06,283
8L89335,6,-5.648394562740577e-06,284
8N28713,7,-5.64789843338076e-06,285
8M31716,6,-5.643165877700085e-06,286
8N06394,4,-5.6298772506124806e-06,287
8L26579,5,-5.6267335821758024e-06,288
8M72673,4,-5.6187145673902705e-06,289
8L89376,5,-5.6152780416596215e-06,290
8939750,5,-5.614132078335388e-06,291
8N27558,5,-5.60394028070732e-06,292
8M71442,12,-5.570401299337391e-06,293
8L52229,9,-5.565002084040316e-06,294
8N28650,2,-5.556400992645649e-06,295
8732552,6,-5.555321877181996e-06,296
8N14010,4,-5.550555215450004e-06,297
8P26523,9,-5.548955414269585e-06,298
8N14162,5,-5.548104581976077e-06,299
8L30667,13,-5.5459340728702955e-06,300
8N42505,5,-5.536766366276424e-06,301
8981277,5,-5.524785137822619e-06,302
8L19928,10,-5.518398211279418e-06,303
8939052,5,-5.50963204659638e-06,304
8N13064,14,-5.509029961103806e-06,305
8N06920,5,-5.5044311011442915e-06,306
8N73658,13,-5.502632120624185e-06,307
8732525,9,-5.499409326148452e-06,308
8N13951,4,-5.499338385561714e-06,309
8981802,5,-5.49667902305373e-06,310
8N28694,5,-5.4780316531832796e-06,311
8887421,6,-5.472331849887269e-06,312
8M31944,6,-5.469037660077447e-06,313
8M72422,13,-5.4683391681464855e-06,314
8L19506,3,-5.467915343615459e-06,315
8747936,4,-5.467287792271236e-06,316
8887305,7,-5.461438377096783e-06,317
8887210,4,-5.4565152822760865e-06,318
8N73185,15,-5.454717665998032e-06,319
8N27959,5,-5.453956873679999e-06,320
8L89724,4,-5.451672222989146e-06,321
8N13983,5,-5.4393085520132445e-06,322
8N28644,8,-5.431595127447508e-06,323
8N28541,9,-5.4123124755278695e-06,324
8L52950,5,-5.407905518950429e-06,325
8M71453,13,-5.403420345828636e-06,326
8L48764,11,-5.401872840593569e-06,327
8N42249,2,-5.398755092755891e-06,328
8L30696,12,-5.388804765971145e-06,329
8L64184,11,-5.370376584323822e-06,330
8M31516,1,-5.36464040123974e-06,331
8939378,7,-5.362372576200869e-06,332
8L19862,6,-5.356881501938915e-06,333
8N28003,2,-5.350297669792781e-06,334
8N27325,4,-5.342921667761402e-06,335
8309274,5,-5.336578396963887e-06,336
8N73992,12,-5.322194283507997e-06,337
8L19926,10,-5.309398147801403e-06,338
8L52619,3,-5.308656454872107e-06,339
8L89324,5,-5.30417446498177e-06,340
8N73946,12,-5.303304988046875e-06,341
8681059,6,-5.294939001032617e-06,342
8939374,7,-5.29465341969626e-06,343
8934329,5,-5.2921373026038054e-06,344
8N05243,13,-5.287063686409965e-06,345
8L52347,11,-5.274676368571818e-06,346
8981147,11,-5.273567239783006e-06,347
8N28848,5,-5.272072030493291e-06,348
8L89466,6,-5.270426299830433e-06,349
8N14294,15,-5.2703762776218355e-06,350
8732256,1,-5.266792413749499e-06,351
8730548,3,-5.2521877478284296e-06,352
8N28681,5,-5.242046881903661e-06,353
8N05588,8,-5.23771632288117e-06,354
8N06486,14,-5.236677225184394e-06,355
8N73819,5,-5.234564014244825e-06,356
8L89211,5,-5.231378509051865e-06,357
8L19899,6,-5.229236194281839e-06,358
8N73003,4,-5.228526333667105e-06,359
8P11576,5,-5.219656031840714e-06,360
8N14905,6,-5.2128775678284e-06,361
8730981,6,-5.205419256526511e-06,362
8N05881,11,-5.198261533223558e-06,363
8L52428,5,-5.195106041355757e-06,364
8934887,7,-5.194548975850921e-06,365
8M71328,11,-5.178451374376891e-06,366
8800051,7,-5.174071247893153e-06,367
8681025,5,-5.166787104826653e-06,368
8887314,7,-5.165631591808051e-06,369
8732667,2,-5.164130470802775e-06,370
8N28682,5,-5.157181021786528e-06,371
8N28358,2,-5.156814040674362e-06,372
8M31476,5,-5.148791387910023e-06,373
8P14652,2,-5.147770480107283e-06,374
8L30851,2,-5.1382244237174746e-06,375
8168649,4,-5.1368187996558845e-06,376
8L89230,6,-5.133024387760088e-06,377
8L64813,2,-5.128492375661153e-06,378
8L64433,13,-5.106724074721569e-06,379
8N14002,6,-5.1055972107860725e-06,380
8939684,11,-5.092343144497136e-06,381
8N73217,12,-5.077288733446039e-06,382
8N87701,5,-5.067744496045634e-06,383
