target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
9,Sleneset,2,2093256797,75,0.2,0.0279761362463301,15
9,Sleneset,7,1770577989,75,0.2,0.361462356175797,15
9,Sleneset,2,2093256797,100,0.2,0.0279761362463301,15
9,Sleneset,7,1770577989,100,0.2,0.361462356175797,15
9,Sleneset,2,1128938910,10,0.25,0.1156107901606677,15
9,Sleneset,7,1137532863,10,0.25,0.2246689846185452,15
9,Sleneset,2,1128938910,25,0.25,0.1156107901606677,15
9,Sleneset,7,1137532863,25,0.25,0.2246689846185452,15
9,Sleneset,2,1128938910,50,0.25,0.1156107901606677,15
9,Sleneset,7,1137532863,50,0.25,0.2246689846185452,15
9,Sleneset,2,1128938910,75,0.25,0.1156107901606677,15
9,Sleneset,7,1137532863,75,0.25,0.2246689846185452,15
9,Sleneset,2,1128938910,100,0.25,0.1156107901606677,15
9,Sleneset,7,1137532863,100,0.25,0.2246689846185452,15
9,Sleneset,3,36289244,10,0.05,0.2157097563289,15
9,Sleneset,8,1764414415,10,0.05,0.1013229799944513,15
9,Sleneset,3,36289244,25,0.05,0.2157097563289,15
9,Sleneset,8,1764414415,25,0.05,0.1013229799944513,15
9,Sleneset,3,36289244,50,0.05,0.2157097563289,15
9,Sleneset,8,1764414415,50,0.05,0.1013229799944513,15
9,Sleneset,3,36289244,75,0.05,0.2157097563289,15
9,Sleneset,8,1764414415,75,0.05,0.1013229799944513,15
9,Sleneset,3,36289244,100,0.05,0.2157097563289,15
9,Sleneset,8,1764414415,100,0.05,0.1013229799944513,15
9,Sleneset,3,442033272,10,0.1,-0.0618120807582167,15
9,Sleneset,8,2098946355,10,0.1,0.3280010414017069,15
9,Sleneset,3,442033272,25,0.1,-0.0618120807582167,15
9,Sleneset,8,2098946355,25,0.1,0.3280010414017069,15
9,Sleneset,3,442033272,50,0.1,-0.0618120807582167,15
9,Sleneset,8,2098946355,50,0.1,0.3280010414017069,15
9,Sleneset,3,442033272,75,0.1,-0.0618120807582167,15
9,Sleneset,8,2098946355,75,0.1,0.3280010414017069,15
9,Sleneset,3,442033272,100,0.1,-0.0618120807582167,15
9,Sleneset,8,2098946355,100,0.1,0.3280010414017069,15
9,Sleneset,3,539161606,10,0.15,0.1982585788739737,15
9,Sleneset,8,1607852785,10,0.15,0.1256415611112422,15
9,Sleneset,3,539161606,25,0.15,0.1982585788739737,15
9,Sleneset,8,1607852785,25,0.15,0.1256415611112422,15
9,Sleneset,3,539161606,50,0.15,0.1982585788739737,15
9,Sleneset,8,1607852785,50,0.15,0.1256415611112422,15
9,Sleneset,3,539161606,75,0.15,0.1982585788739737,15
9,Sleneset,8,1607852785,75,0.15,0.1256415611112422,15
9,Sleneset,3,539161606,100,0.15,0.1982585788739737,15
9,Sleneset,8,1607852785,100,0.15,0.1256415611112422,15
9,Sleneset,3,679594834,10,0.2,-0.0804373689808945,15
9,Sleneset,8,556589502,10,0.2,0.395895254540777,15
9,Sleneset,3,679594834,25,0.2,-0.0804373689808945,15
9,Sleneset,8,556589502,25,0.2,0.395895254540777,15
9,Sleneset,3,679594834,50,0.2,-0.0804373689808945,15
9,Sleneset,8,556589502,50,0.2,0.395895254540777,15
9,Sleneset,3,679594834,75,0.2,-0.0804373689808945,15
9,Sleneset,8,556589502,75,0.2,0.395895254540777,15
9,Sleneset,3,679594834,100,0.2,-0.0804373689808945,15
9,Sleneset,8,556589502,100,0.2,0.395895254540777,15
9,Sleneset,3,1406013011,10,0.25,0.1226594594394924,15
9,Sleneset,8,249728399,10,0.25,0.2848992556661065,15
9,Sleneset,3,1406013011,25,0.25,0.1226594594394924,15
9,Sleneset,8,249728399,25,0.25,0.2848992556661065,15
9,Sleneset,3,1406013011,50,0.25,0.1226594594394924,15
9,Sleneset,8,249728399,50,0.25,0.2848992556661065,15
9,Sleneset,3,1406013011,75,0.25,0.1226594594394924,15
9,Sleneset,8,249728399,75,0.25,0.2848992556661065,15
9,Sleneset,3,1406013011,100,0.25,0.1226594594394924,15
9,Sleneset,8,249728399,100,0.25,0.2848992556661065,15
9,Sleneset,4,1032463046,10,0.05,-0.1728135914621764,15
9,Sleneset,9,964385962,10,0.05,-0.1931897340594543,15
9,Sleneset,4,1032463046,25,0.05,-0.1728135914621764,15
9,Sleneset,9,964385962,25,0.05,-0.1931897340594543,15
9,Sleneset,4,1032463046,50,0.05,-0.1728135914621764,15
9,Sleneset,9,964385962,50,0.05,-0.1931897340594543,15
9,Sleneset,4,1032463046,75,0.05,-0.1728135914621764,15
9,Sleneset,9,964385962,75,0.05,-0.1931897340594543,15
9,Sleneset,4,1032463046,100,0.05,-0.1728135914621764,15
