n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
8,7,2106,0.1193205398699404,1.016642451286316,random_individual,0,7,2106,9,Sleneset,5,1710782713,10,0.05
7,8,2462,0.0961550957952473,1.0217338800430298,random_individual,0,8,2462,9,Sleneset,5,1710782713,10,0.05
6,9,2859,0.1359481818756937,1.0120149850845337,random_individual,0,9,2859,9,Sleneset,5,1710782713,10,0.05
5,10,3937,0.1607261637763098,1.0049664974212646,random_individual,0,10,3937,9,Sleneset,5,1710782713,10,0.05
4,11,4521,0.1901117430731222,0.9892802238464355,random_individual,0,11,4521,9,Sleneset,5,1710782713,10,0.05
3,12,5079,0.164628362362671,0.9930217266082764,random_individual,0,12,5079,9,Sleneset,5,1710782713,10,0.05
2,13,5281,0.1392458360398264,1.0004020929336548,random_individual,0,13,5281,9,Sleneset,5,1710782713,10,0.05
1,14,5373,0.1586301020146766,0.9932488799095154,random_individual,0,14,5373,9,Sleneset,5,1710782713,10,0.05
0,15,5531,0.1470859128674381,0.9971341490745544,random_individual,0,15,5531,9,Sleneset,5,1710782713,10,0.05
14,1,194,-0.097378841450017,1.0402300357818604,random_individual,1,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,-0.069557365867818,1.045871615409851,random_individual,1,2,313,9,Sleneset,5,1710782713,10,0.05
12,3,486,0.0003013161684321,1.0324673652648926,random_individual,1,3,486,9,Sleneset,5,1710782713,10,0.05
11,4,778,0.0198914410841837,1.0329715013504028,random_individual,1,4,778,9,Sleneset,5,1710782713,10,0.05
10,5,1264,0.0913441521096963,1.0207679271697998,random_individual,1,5,1264,9,Sleneset,5,1710782713,10,0.05
9,6,1847,0.0691919006791848,1.0246576070785522,random_individual,1,6,1847,9,Sleneset,5,1710782713,10,0.05
8,7,2106,0.0705231604371856,1.0206022262573242,random_individual,1,7,2106,9,Sleneset,5,1710782713,10,0.05
7,8,2462,0.0947378433483048,1.0137279033660889,random_individual,1,8,2462,9,Sleneset,5,1710782713,10,0.05
6,9,2859,0.074660309944714,1.0191510915756226,random_individual,1,9,2859,9,Sleneset,5,1710782713,10,0.05
5,10,3937,0.1289187248111227,1.0033161640167236,random_individual,1,10,3937,9,Sleneset,5,1710782713,10,0.05
4,11,4521,0.1222640769226111,1.0078638792037964,random_individual,1,11,4521,9,Sleneset,5,1710782713,10,0.05
3,12,5079,0.1219480813295312,1.0054962635040283,random_individual,1,12,5079,9,Sleneset,5,1710782713,10,0.05
2,13,5281,0.1441990205317319,0.9975109100341796,random_individual,1,13,5281,9,Sleneset,5,1710782713,10,0.05
1,14,5373,0.1444344997501262,0.996951937675476,random_individual,1,14,5373,9,Sleneset,5,1710782713,10,0.05
0,15,5531,0.1470859128674381,0.9971341490745544,random_individual,1,15,5531,9,Sleneset,5,1710782713,10,0.05
14,1,194,-0.0165933080948839,1.0667065382003784,random_individual,2,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,-0.0251486281532678,1.0441243648529053,random_individual,2,2,313,9,Sleneset,5,1710782713,10,0.05
12,3,486,-0.0202813371189987,1.0378928184509275,random_individual,2,3,486,9,Sleneset,5,1710782713,10,0.05
11,4,778,0.021603998349373,1.0304385423660278,random_individual,2,4,778,9,Sleneset,5,1710782713,10,0.05
10,5,1264,0.0548891543689309,1.024238348007202,random_individual,2,5,1264,9,Sleneset,5,1710782713,10,0.05
9,6,1847,0.1531321158131874,0.9996917247772216,random_individual,2,6,1847,9,Sleneset,5,1710782713,10,0.05
8,7,2106,0.1376490086299704,1.004702091217041,random_individual,2,7,2106,9,Sleneset,5,1710782713,10,0.05
7,8,2462,0.1086557691408273,1.0066920518875122,random_individual,2,8,2462,9,Sleneset,5,1710782713,10,0.05
6,9,2859,0.1059370427445382,1.007491111755371,random_individual,2,9,2859,9,Sleneset,5,1710782713,10,0.05
5,10,3937,0.1307859845274804,1.0029382705688477,random_individual,2,10,3937,9,Sleneset,5,1710782713,10,0.05
4,11,4521,0.1651137241636008,0.9940674304962158,random_individual,2,11,4521,9,Sleneset,5,1710782713,10,0.05
3,12,5079,0.1481916759222127,0.998173177242279,random_individual,2,12,5079,9,Sleneset,5,1710782713,10,0.05
2,13,5281,0.1395209889219344,1.0018151998519895,random_individual,2,13,5281,9,Sleneset,5,1710782713,10,0.05
1,14,5373,0.1325122151339606,1.002393364906311,random_individual,2,14,5373,9,Sleneset,5,1710782713,10,0.05
0,15,5531,0.1470859128674381,0.9971341490745544,random_individual,2,15,5531,9,Sleneset,5,1710782713,10,0.05
14,1,194,-0.0867628037331907,1.0376042127609253,random_individual,3,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,-0.0335961168009069,1.0346277952194214,random_individual,3,2,313,9,Sleneset,5,1710782713,10,0.05
12,3,486,0.0007873078664586,1.030550837516785,random_individual,3,3,486,9,Sleneset,5,1710782713,10,0.05
11,4,778,-0.0715650025612317,1.0429188013076782,random_individual,3,4,778,9,Sleneset,5,1710782713,10,0.05
10,5,1264,-0.0488295181360784,1.046610713005066,random_individual,3,5,1264,9,Sleneset,5,1710782713,10,0.05
9,6,1847,-0.0169661793008965,1.0460782051086426,random_individual,3,6,1847,9,Sleneset,5,1710782713,10,0.05
8,7,2106,0.0276633869980091,1.0377366542816162,random_individual,3,7,2106,9,Sleneset,5,1710782713,10,0.05
7,8,2462,0.0191696839874514,1.0401945114135742,random_individual,3,8,2462,9,Sleneset,5,1710782713,10,0.05
6,9,2859,0.07758869841308,1.0268009901046753,random_individual,3,9,2859,9,Sleneset,5,1710782713,10,0.05
5,10,3937,0.1262671549142358,1.0074210166931152,random_individual,3,10,3937,9,Sleneset,5,1710782713,10,0.05
4,11,4521,0.1019970314039036,1.0121687650680542,random_individual,3,11,4521,9,Sleneset,5,1710782713,10,0.05
3,12,5079,0.1184577808065615,1.005940318107605,random_individual,3,12,5079,9,Sleneset,5,1710782713,10,0.05
2,13,5281,0.131560150171983,1.0031620264053345,random_individual,3,13,5281,9,Sleneset,5,1710782713,10,0.05
1,14,5373,0.1404412872465886,0.999073088169098,random_individual,3,14,5373,9,Sleneset,5,1710782713,10,0.05
0,15,5531,0.1470859128674381,0.9971341490745544,random_individual,3,15,5531,9,Sleneset,5,1710782713,10,0.05
14,1,194,-0.0539811556519988,1.0348875522613523,random_individual,4,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,0.0414797548107389,1.0281715393066406,random_individual,4,2,313,9,Sleneset,5,1710782713,10,0.05
