n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
14,5319,0.2574693262577057,1.3337491750717163,shapley_mean,-1,0,2,2014
15,5578,0.2499062865972519,1.3377151489257812,shapley_mean,-1,0,2,2014
1,92,0.04067033529281616,1.3885908126831055,random_individual,0,0,2,2014
2,258,0.19898979365825653,1.4309829473495483,random_individual,0,0,2,2014
3,431,0.032865822315216064,1.371293067932129,random_individual,0,0,2,2014
4,625,0.08919283747673035,1.451536774635315,random_individual,0,0,2,2014
5,1209,0.19964806735515594,1.3457223176956177,random_individual,0,0,2,2014
6,1565,0.29884228110313416,1.3952921628952026,random_individual,0,0,2,2014
7,2643,0.19821697473526,1.3491177558898926,random_individual,0,0,2,2014
8,3129,0.22299695014953613,1.3472901582717896,random_individual,0,0,2,2014
9,3331,0.2737785875797272,1.3280946016311646,random_individual,0,0,2,2014
10,3914,0.26444196701049805,1.3470913171768188,random_individual,0,0,2,2014
11,4311,0.17649611830711365,1.366541862487793,random_individual,0,0,2,2014
12,4469,0.2789733409881592,1.3352127075195312,random_individual,0,0,2,2014
13,5027,0.22952288389205933,1.3496164083480835,random_individual,0,0,2,2014
14,5319,0.2457052618265152,1.3546205759048462,random_individual,0,0,2,2014
15,5578,0.27203264832496643,1.3586339950561523,random_individual,0,0,2,2014
1,92,0.13237126171588898,1.4041328430175781,random_individual,1,0,2,2014
2,258,0.07819648087024689,1.3987531661987305,random_individual,1,0,2,2014
3,431,0.120537668466568,1.4135513305664062,random_individual,1,0,2,2014
4,625,0.04062870144844055,1.4828262329101562,random_individual,1,0,2,2014
5,1209,0.1999278962612152,1.3568307161331177,random_individual,1,0,2,2014
6,1565,0.1779077649116516,1.3708758354187012,random_individual,1,0,2,2014
7,2643,0.2452050894498825,1.311841607093811,random_individual,1,0,2,2014
8,3129,0.08559688925743103,1.3775607347488403,random_individual,1,0,2,2014
9,3331,0.18761388957500458,1.3786120414733887,random_individual,1,0,2,2014
10,3914,0.2842106819152832,1.3022544384002686,random_individual,1,0,2,2014
11,4311,0.29143550992012024,1.3581095933914185,random_individual,1,0,2,2014
12,4469,0.23900027573108673,1.3310327529907227,random_individual,1,0,2,2014
13,5027,0.20206426084041595,1.3711233139038086,random_individual,1,0,2,2014
14,5319,0.25090253353118896,1.3530783653259277,random_individual,1,0,2,2014
15,5578,0.18491868674755096,1.3925585746765137,random_individual,1,0,2,2014
1,92,0.060907311737537384,1.4160000085830688,random_individual,2,0,2,2014
2,258,0.1043732613325119,1.421974778175354,random_individual,2,0,2,2014
3,431,0.15055491030216217,1.425107479095459,random_individual,2,0,2,2014
4,625,0.02457456663250923,1.4863520860671997,random_individual,2,0,2,2014
5,1209,0.0565006397664547,1.4618878364562988,random_individual,2,0,2,2014
6,1565,0.019427165389060974,1.5724374055862427,random_individual,2,0,2,2014
7,2643,0.11054249107837677,1.4846683740615845,random_individual,2,0,2,2014
8,3129,0.0870877280831337,1.4784165620803833,random_individual,2,0,2,2014
9,3331,0.17626547813415527,1.406581997871399,random_individual,2,0,2,2014
10,3914,0.13184580206871033,1.4176183938980103,random_individual,2,0,2,2014
11,4311,0.17507991194725037,1.3739274740219116,random_individual,2,0,2,2014
12,4469,0.2627268135547638,1.3557311296463013,random_individual,2,0,2,2014
13,5027,0.2598326504230499,1.3348621129989624,random_individual,2,0,2,2014
14,5319,0.13795699179172516,1.3950881958007812,random_individual,2,0,2,2014
15,5578,0.16348713636398315,1.368919849395752,random_individual,2,0,2,2014
1,92,0.11152912676334381,1.3920930624008179,random_individual,3,0,2,2014
2,258,0.1769794374704361,1.3845804929733276,random_individual,3,0,2,2014
3,431,-0.004877161234617233,1.4161559343338013,random_individual,3,0,2,2014
4,625,0.07108152657747269,1.4353817701339722,random_individual,3,0,2,2014
5,1209,0.16082161664962769,1.3521779775619507,random_individual,3,0,2,2014
6,1565,0.10517557710409164,1.380358099937439,random_individual,3,0,2,2014
7,2643,0.09113560616970062,1.3969817161560059,random_individual,3,0,2,2014
8,3129,0.15118056535720825,1.4230386018753052,random_individual,3,0,2,2014
9,3331,0.16859877109527588,1.4093202352523804,random_individual,3,0,2,2014
10,3914,0.056968431919813156,1.4207361936569214,random_individual,3,0,2,2014
11,4311,0.14569203555583954,1.3781766891479492,random_individual,3,0,2,2014
12,4469,0.15037809312343597,1.3528861999511719,random_individual,3,0,2,2014
13,5027,0.21121859550476074,1.3546062707901,random_individual,3,0,2,2014
14,5319,0.16430361568927765,1.4143519401550293,random_individual,3,0,2,2014
15,5578,0.24656106531620026,1.32463538646698,random_individual,3,0,2,2014
1,92,0.18951424956321716,1.4548778533935547,random_individual,4,0,2,2014
2,258,0.08703121542930603,1.5035167932510376,random_individual,4,0,2,2014
3,431,-0.04832528904080391,1.5267518758773804,random_individual,4,0,2,2014
4,625,0.04758160188794136,1.4307786226272583,random_individual,4,0,2,2014
5,1209,-0.0294149462133646,1.4310697317123413,random_individual,4,0,2,2014
