n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
9,6,2288,-0.005379256326705217,1.1785279512405396,random_individual,4,0,0,14
10,5,1932,-0.25455421209335327,1.2157936096191406,random_individual,4,0,0,14
11,4,854,0.10280989855527878,1.1548571586608887,random_individual,4,0,0,14
12,3,652,-0.208990216255188,1.21168851852417,random_individual,4,0,0,14
13,2,360,-0.0214383564889431,1.1739202737808228,random_individual,4,0,0,14
14,1,166,0.09605362266302109,1.170988917350769,random_individual,4,0,0,14
0,15,5578,0.2861008048057556,1.3344992399215698,shapley_mean,-1,0,1,1014
1,14,5319,0.2860753834247589,1.3363896608352661,shapley_mean,-1,0,1,1014
2,13,5027,0.2661643922328949,1.347051978111267,shapley_mean,-1,0,1,1014
3,12,4854,0.2805565893650055,1.3340997695922852,shapley_mean,-1,0,1,1014
4,11,4270,0.28159186244010925,1.3385614156723022,shapley_mean,-1,0,1,1014
5,10,3192,0.3052919805049896,1.322858214378357,shapley_mean,-1,0,1,1014
6,9,2706,0.3097139596939087,1.323245882987976,shapley_mean,-1,0,1,1014
7,8,2548,0.2949245572090149,1.3238401412963867,shapley_mean,-1,0,1,1014
8,7,2346,0.2980310022830963,1.3242799043655396,shapley_mean,-1,0,1,1014
9,6,1763,0.32163307070732117,1.3168727159500122,shapley_mean,-1,0,1,1014
10,5,1366,0.32298022508621216,1.3202145099639893,shapley_mean,-1,0,1,1014
11,4,1010,0.3296813368797302,1.3204213380813599,shapley_mean,-1,0,1,1014
12,3,452,0.15255150198936462,1.3463226556777954,shapley_mean,-1,0,1,1014
13,2,360,0.14656946063041687,1.357817530632019,shapley_mean,-1,0,1,1014
14,1,194,0.1367313265800476,1.3653764724731445,shapley_mean,-1,0,1,1014
0,15,5578,0.16391681134700775,1.3873367309570312,random_individual,0,0,1,1014
1,14,5319,0.250271201133728,1.3448814153671265,random_individual,0,0,1,1014
2,13,5027,0.054841116070747375,1.4004281759262085,random_individual,0,0,1,1014
3,12,4854,0.2553376853466034,1.3508200645446777,random_individual,0,0,1,1014
4,11,4270,0.10058967024087906,1.392515778541565,random_individual,0,0,1,1014
5,10,3192,0.06607162207365036,1.4011707305908203,random_individual,0,0,1,1014
6,9,2706,0.231068953871727,1.3669975996017456,random_individual,0,0,1,1014
7,8,2548,0.06076366826891899,1.397082805633545,random_individual,0,0,1,1014
8,7,2346,0.04606902599334717,1.4049094915390015,random_individual,0,0,1,1014
9,6,1763,0.06062092259526253,1.4243478775024414,random_individual,0,0,1,1014
10,5,1366,-0.04348576441407204,1.4236178398132324,random_individual,0,0,1,1014
11,4,1010,0.04679383710026741,1.3980709314346313,random_individual,0,0,1,1014
12,3,452,0.1708446890115738,1.3635905981063843,random_individual,0,0,1,1014
13,2,360,-0.12450505793094635,1.422890067100525,random_individual,0,0,1,1014
14,1,194,-0.1774810552597046,1.4199681282043457,random_individual,0,0,1,1014
0,15,5578,0.17091615498065948,1.3751100301742554,random_individual,1,0,1,1014
1,14,5319,0.1992865949869156,1.3708521127700806,random_individual,1,0,1,1014
2,13,5027,0.09108517318964005,1.396331787109375,random_individual,1,0,1,1014
3,12,4854,0.11940858513116837,1.3850382566452026,random_individual,1,0,1,1014
4,11,4270,0.19474276900291443,1.3900693655014038,random_individual,1,0,1,1014
5,10,3192,0.23792392015457153,1.3399680852890015,random_individual,1,0,1,1014
6,9,2706,0.11583501845598221,1.4491831064224243,random_individual,1,0,1,1014
7,8,2548,0.16901208460330963,1.3783775568008423,random_individual,1,0,1,1014
8,7,2346,0.1837054342031479,1.3904147148132324,random_individual,1,0,1,1014
9,6,1763,0.03712315112352371,1.3976279497146606,random_individual,1,0,1,1014
10,5,1366,-0.10430049896240234,1.4358419179916382,random_individual,1,0,1,1014
11,4,1010,-0.041618648916482925,1.4384021759033203,random_individual,1,0,1,1014
12,3,452,-0.0973556712269783,1.4130834341049194,random_individual,1,0,1,1014
13,2,360,-0.06303685158491135,1.3922901153564453,random_individual,1,0,1,1014
14,1,194,0.08217445015907288,1.376180648803711,random_individual,1,0,1,1014
0,15,5578,0.13487696647644043,1.4198070764541626,random_individual,2,0,1,1014
1,14,5319,0.09214989095926285,1.3841317892074585,random_individual,2,0,1,1014
2,13,5027,0.1400267779827118,1.3653515577316284,random_individual,2,0,1,1014
3,12,4854,0.09210504591464996,1.4263319969177246,random_individual,2,0,1,1014
4,11,4270,0.06975454837083817,1.41146981716156,random_individual,2,0,1,1014
5,10,3192,0.24297553300857544,1.3786864280700684,random_individual,2,0,1,1014
6,9,2706,0.14790484309196472,1.3871454000473022,random_individual,2,0,1,1014
7,8,2548,0.07947507500648499,1.3849992752075195,random_individual,2,0,1,1014
8,7,2346,0.01874956488609314,1.3933824300765991,random_individual,2,0,1,1014
9,6,1763,0.17494362592697144,1.3712520599365234,random_individual,2,0,1,1014
10,5,1366,0.13993561267852783,1.3700891733169556,random_individual,2,0,1,1014
11,4,1010,0.11033642292022705,1.5652055740356445,random_individual,2,0,1,1014
12,3,452,0.05701175704598427,1.4141926765441895,random_individual,2,0,1,1014
13,2,360,0.2273033708333969,1.338025450706482,random_individual,2,0,1,1014
14,1,194,0.18249155580997467,1.377171516418457,random_individual,2,0,1,1014
0,15,5578,0.16277779638767242,1.3991527557373047,random_individual,3,0,1,1014
1,14,5319,0.09808777272701263,1.4182242155075073,random_individual,3,0,1,1014
2,13,5027,0.15201008319854736,1.3935762643814087,random_individual,3,0,1,1014
3,12,4854,0.0840597078204155,1.4092918634414673,random_individual,3,0,1,1014
4,11,4270,0.05269601196050644,1.41278076171875,random_individual,3,0,1,1014
5,10,3192,-0.012892229482531548,1.3949898481369019,random_individual,3,0,1,1014
6,9,2706,0.13973990082740784,1.407278060913086,random_individual,3,0,1,1014
7,8,2548,0.25313788652420044,1.3646291494369507,random_individual,3,0,1,1014
8,7,2346,0.1290336400270462,1.3960565328598022,random_individual,3,0,1,1014
9,6,1763,0.11420848220586777,1.387338638305664,random_individual,3,0,1,1014
10,5,1366,-0.029484936967492104,1.409070611000061,random_individual,3,0,1,1014
11,4,1010,0.12907885015010834,1.3817554712295532,random_individual,3,0,1,1014
12,3,452,0.1478630006313324,1.3594913482666016,random_individual,3,0,1,1014
13,2,360,-0.023397108539938927,1.417022705078125,random_individual,3,0,1,1014
14,1,194,0.09601083397865295,1.3635855913162231,random_individual,3,0,1,1014
0,15,5578,0.23927079141139984,1.3580952882766724,random_individual,4,0,1,1014
1,14,5319,0.08538071066141129,1.418007254600525,random_individual,4,0,1,1014
2,13,5027,0.03159075602889061,1.4069029092788696,random_individual,4,0,1,1014
3,12,4854,0.12335135042667389,1.3884620666503906,random_individual,4,0,1,1014
4,11,4270,0.19002237915992737,1.3901044130325317,random_individual,4,0,1,1014
5,10,3192,0.11018697172403336,1.385598063468933,random_individual,4,0,1,1014
6,9,2706,-0.0522594191133976,1.4238792657852173,random_individual,4,0,1,1014
