trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind,source_lat,source_lon,target_lat,target_lon,geo_distance_km,phi_per_ind_1e4,shapley_sign
thr_wing,0,Nesøy,4,Gjerøy,553,0.0273612540426904,0.0851873413818052,4.9477855411736766e-05,0.0001540458252835,10,8,66.615165,13.023725,66.574584,12.646056,17.281149760859467,0.49477855411736765,Positive
thr_wing,0,Nesøy,5,Hestmannøy,1055,0.0425368945514481,0.1088050502057071,4.031933132838684e-05,0.0001031327490101,10,9,66.536102,12.838656,66.574584,12.646056,9.534789809742941,0.40319331328386837,Positive
thr_wing,0,Nesøy,6,Indre Kvarøy,349,-0.038513783308586,0.0422724089695303,-0.0001103546799672,0.0001211243810015,10,12,66.484892,12.945714,66.574584,12.646056,16.600488854328603,-1.103546799672,Negative
thr_wing,0,Nesøy,7,Onøy og Lurøy,256,0.0186423566651666,0.0441531007427039,7.282170572330737e-05,0.0001724730497761,10,4,66.406531,12.863522,66.574584,12.646056,21.029337005170788,0.7282170572330737,Positive
thr_wing,0,Nesøy,8,Lovund,151,-0.0310406204239786,0.0641484071337968,-0.0002055670226753,0.0004248238883032,10,14,66.363291,12.339011,66.574584,12.646056,27.16254255064661,-2.055670226753,Negative
thr_wing,0,Nesøy,9,Sleneset,160,0.0259355526354573,0.0269729946813877,0.0001620972039716,0.0001685812167586,10,2,66.360922,12.595983,66.574584,12.646056,23.861940525088542,1.620972039716,Positive
thr_wing,0,Nesøy,10,Aldra,173,-0.0207821690022569,0.0585918149599392,-0.0001201281445217,0.0003386810113291,10,13,66.408641,13.059615,66.574584,12.646056,26.017997290856243,-1.201281445217,Negative
thr_wing,0,Nesøy,11,Leka,581,0.0364083570003405,0.039883551558038,6.266498623122305e-05,6.864638822381768e-05,10,7,65.08345,11.634547,66.574584,12.646056,172.07821192780375,0.6266498623122305,Positive
thr_wing,0,Nesøy,12,Vega,397,0.0313553547917229,0.0480695970443368,7.898074254842064e-05,0.000121082108424,10,3,65.657315,11.910286,66.574584,12.646056,107.2382528330402,0.7898074254842063,Positive
thr_wing,0,Nesøy,13,Vikna,583,0.0406325956418913,0.0358827423380341,6.969570436001938e-05,6.154844311841189e-05,10,5,64.905897,11.023292,66.574584,12.646056,199.79729199077198,0.6969570436001938,Positive
thr_wing,0,Nesøy,14,Lauvøya,688,0.0255208704010043,0.053474245515853,3.709428837355277e-05,7.772419406373985e-05,10,10,63.928508,9.933058,66.574584,12.646056,320.11818234304565,0.3709428837355277,Positive
thr_wing,1,Myken,0,Nesøy,118,-0.0026257075288403,0.075531431312613,-2.2251758718985592e-05,0.0006400968755306,10,12,66.574584,12.646056,66.760027,12.478567,21.89997585625237,-0.22251758718985593,Negative
thr_wing,1,Myken,2,Træna,286,0.1049752149277065,0.0762620596999161,0.0003670462060409,0.0002666505583913,10,2,66.498248,12.082706,66.760027,12.478567,33.94384131075169,3.670462060409,Positive
thr_wing,1,Myken,3,Selvær,191,0.0904694076501431,0.1419429030974428,0.0004736618201578,0.0007431565607195,10,1,66.586744,12.237925,66.760027,12.478567,21.98925342379559,4.7366182015780005,Positive
