source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
6,9,Indre Kvarøy,Sleneset,20.783834886694716,0.0001429840097476766,3,1.429840097476766,Positive
6,10,Indre Kvarøy,Aldra,9.874360810502877,7.22418083425699e-06,3,0.0722418083425699,Positive
6,11,Indre Kvarøy,Leka,166.90519543760988,0.0001038664902370281,3,1.038664902370281,Positive
6,12,Indre Kvarøy,Vega,103.19039109510574,-0.0001120602521289105,3,-1.120602521289105,Negative
6,13,Indre Kvarøy,Vikna,196.36631708257528,0.00013348414967054195,3,1.3348414967054194,Positive
6,14,Indre Kvarøy,Lauvøya,316.9908133537998,2.8441746096121252e-06,3,0.028441746096121254,Positive
7,0,Onøy og Lurøy,Nesøy,21.029337005170788,-0.00016088881284306421,3,-1.6088881284306422,Negative
7,1,Onøy og Lurøy,Myken,42.830052595587574,-2.5877531698341384e-06,3,-0.025877531698341383,Negative
7,2,Onøy og Lurøy,Træna,36.154615005776925,3.3745406417997106e-05,3,0.33745406417997104,Positive
7,3,Onøy og Lurøy,Selvær,34.222179676197506,-0.00012546845755981656,3,-1.2546845755981655,Negative
7,4,Onøy og Lurøy,Gjerøy,24.261245476020058,0.00010319103697261938,3,1.0319103697261938,Positive
7,5,Onøy og Lurøy,Hestmannøy,14.449877852297275,4.7991780402299995e-05,3,0.47991780402299994,Positive
7,6,Onøy og Lurøy,Indre Kvarøy,9.447828453947155,0.0001954558157951,3,1.9545581579509999,Positive
7,8,Onøy og Lurøy,Lovund,23.85317577660052,1.1601505573749215e-08,3,0.00011601505573749214,Positive
7,9,Onøy og Lurøy,Sleneset,12.951915537436141,-4.3854076890034125e-05,3,-0.43854076890034127,Negative
7,10,Onøy og Lurøy,Aldra,8.729945463727077,0.00024822980325069815,3,2.4822980325069817,Positive
7,11,Onøy og Lurøy,Leka,157.4595094087497,3.911736252110102e-05,3,0.3911736252110102,Positive
7,12,Onøy og Lurøy,Vega,93.77608063958276,2.972254052123233e-05,3,0.2972254052123233,Positive
7,13,Onøy og Lurøy,Vikna,186.95208564615646,6.637079108072746e-05,3,0.6637079108072745,Positive
7,14,Onøy og Lurøy,Lauvøya,307.5784894864828,0.00013185251019758016,3,1.3185251019758015,Positive
8,0,Lovund,Nesøy,27.16254255064661,0.00015004433204397416,3,1.5004433204397416,Positive
8,1,Lovund,Myken,44.544783971350654,0.00020929024715830218,3,2.0929024715830216,Positive
8,2,Lovund,Træna,18.84306694501531,8.56904288052741e-05,3,0.856904288052741,Positive
8,3,Lovund,Selvær,25.2486784861134,0.0004235838321112,3,4.235838321111999,Positive
8,4,Lovund,Gjerøy,41.3141859046234,0.00012962465709721342,3,1.2962465709721342,Positive
8,5,Lovund,Hestmannøy,29.35995081989071,7.426206394936956e-05,3,0.7426206394936956,Positive
8,6,Lovund,Indre Kvarøy,30.18069711388027,0.00041356026090373334,3,4.135602609037333,Positive
8,7,Lovund,Onøy og Lurøy,23.85317577660052,6.356216761065374e-05,3,0.6356216761065373,Positive
8,9,Lovund,Sleneset,11.459916819095087,0.00042025844131379997,3,4.202584413138,Positive
8,10,Lovund,Aldra,32.49051914425014,0.00018331821742260945,3,1.8331821742260945,Positive
8,11,Lovund,Leka,145.90835605318503,0.00024462758988966666,3,2.4462758988966664,Positive
8,12,Lovund,Vega,80.85793785329014,0.00011614780884980324,3,1.1614780884980325,Positive
8,13,Lovund,Vikna,172.92091389543634,-1.1250025126329125e-05,3,-0.11250025126329126,Negative
8,14,Lovund,Lauvøya,293.1072145452544,0.00011316687747515071,3,1.131668774751507,Positive
9,0,Sleneset,Nesøy,23.861940525088542,0.00019127557936154415,3,1.9127557936154416,Positive
