trait,trait_label,fold,test_island_code,test_island,test_size,n_train,pearson_r,mean_inner_r,outer_minus_inner_r,alpha,log10_alpha,n_pcs,num_snps,weighting_method,weighting_label,clip_max,prob_clip,n_components,n_components_used,logistic_c,rho,pca_fit,effective_sample_size,pre_shrink_effective_sample_size,ess_ratio,pre_shrink_ess_ratio,inner_validation_top_k_requested,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,source_file
thr_wing,Wing length,1,0,Nesøy,118,5515,0.15800297515255332,0.2556677849525829,-0.09766480980002959,64568.82811537051,4.8100229042988785,5000,5000,pc_logistic,PC logistic,4.0,0.015007793630698575,100,100,0.00010328407742819704,0.85,combined,4847.664904016766,4560.5937201258575,0.8789963561227137,0.8269435575930839,10,10,3266,0.006598441581212969,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,2,1,Myken,92,5541,0.22232607234158716,0.2459895054916043,-0.02366343315001715,165549.90272216007,5.218928929894844,4000,4000,pc_logistic,PC logistic,2.5,0.030066526495146118,60,60,2.2833230084613132e-05,1.0,combined,5381.9828523700535,5381.9828523700535,0.9713017239433411,0.9713017239433411,10,10,3292,0.021240654531168274,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,3,2,Træna,286,5347,0.26182159049036946,0.20933291711767107,0.052488673372698386,163632.53399865946,5.213869655884062,2000,2000,pc_logistic,PC logistic,2.5,0.011929070954467701,20,20,9.379143363320458e-06,1.0,combined,4601.969951790349,4601.969951790349,0.8606639146793247,0.8606639146793247,10,10,3322,0.019410508141042157,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,4,3,Selvær,191,5442,0.38651569378607137,0.20098544878699612,0.18553024499907525,83037.81169697603,4.9192758956531,4500,4500,pc_logistic,PC logistic,4.0,0.029792292844399278,100,100,1.4363231502049721e-05,1.0,combined,4429.79496980428,4429.79496980428,0.8140012807431607,0.8140012807431607,10,10,3417,0.021240654531168274,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,5,4,Gjerøy,553,5080,0.07329882528546464,0.2587260526062522,-0.18542722732078756,52108.610536557535,4.716909492964285,4500,4500,pc_logistic,PC logistic,7.0,0.023318583467654568,20,20,3.256194798869524e-05,0.85,combined,3069.1334900686875,2664.0965567662784,0.6041601358402928,0.524428456056354,10,10,2831,0.004707559172177233,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,6,5,Hestmannøy,1055,4578,0.15980353466108588,0.23705194687121506,-0.07724841221012918,57060.76418723017,4.756337583656053,4000,4000,pc_logistic,PC logistic,1.5,0.015959449343063432,80,80,0.34561732481429136,0.85,combined,3144.407412334888,1311.4790033173147,0.6868517720259694,0.28647422527682714,10,10,2329,0.004707559172177233,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,7,6,Indre Kvarøy,349,5284,0.3769360155002578,0.23067241221891616,0.14626360328134164,70416.38332517771,4.847673715391165,4000,4000,pc_logistic,PC logistic,4.0,0.019641938167716005,60,60,2.198793509155266e-05,1.0,combined,3665.2420013189235,3665.2420013189235,0.6936491296969953,0.6936491296969953,10,10,3035,0.004303449371327566,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,8,7,Onøy og Lurøy,256,5377,0.39694871574090373,0.22642856853149448,0.17052014720940925,49972.20562664418,4.698728518350754,4000,4000,pc_logistic,PC logistic,2.5,0.030547622362027477,100,100,3.466926883251038e-05,0.85,combined,4924.440845359282,4759.91501028161,0.9158342654564409,0.8852361930968217,10,10,3128,0.009155116992441415,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,9,8,Lovund,151,5482,0.1681327232778606,0.23317321415284004,-0.06504049087497943,45332.57041526585,4.656410344814638,5000,5000,pc_logistic,PC logistic,4.0,0.00904812465025861,100,100,0.3695128691579902,0.85,combined,2710.5958296940134,1881.6965855798524,0.4944538178938368,0.3432500156110639,10,10,3457,0.02187477725733186,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,10,9,Sleneset,160,5473,0.1817197380738747,0.23988083423264853,-0.05816109615877382,116343.10328315271,5.065740643790821,4500,4500,pc_logistic,PC logistic,4.0,0.005045034302141166,100,100,4.703436849380676,0.7,combined,3009.28988930174,1165.9814623008879,0.5498428447472574,0.2130424743834986,10,10,3448,0.021874777257331855,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,11,10,Aldra,173,5460,0.16255438462723626,0.22974752208012972,-0.06719313745289346,81051.20194254434,4.908759459568792,3000,3000,pc_logistic,PC logistic,2.5,0.02892075260886514,60,60,2.128437985667416e-05,1.0,combined,5439.517138689012,5439.517138689012,0.9962485601994528,0.9962485601994528,10,10,3322,0.001108110962403731,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,12,11,Leka,581,5052,0.17243424885319902,0.20448716472490086,-0.03205291587170184,42791.328095511024,4.631355765698728,4000,4000,pc_logistic,PC logistic,1.5,0.02299739741243622,100,100,0.00044358271494490995,1.0,combined,3603.180956582079,3603.180956582079,0.7132187166631193,0.7132187166631193,10,10,3003,0.011708655010983166,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,13,12,Vega,397,5236,0.07409557784289285,0.2344230948932952,-0.16032751705040232,42138.53666718781,4.624679449914699,4500,4500,pc_logistic,PC logistic,4.0,0.021812907780410812,100,100,1.5464100947951371,0.85,combined,4474.733045766138,2961.353022224469,0.854609061452662,0.5655754435111667,10,10,3106,0.0006855971271691338,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,14,13,Vikna,583,5050,0.11591745157650016,0.22344664492111216,-0.107529193344612,30697.064045510924,4.487096840304307,4500,4500,pc_logistic,PC logistic,4.0,0.02602103668017218,100,100,0.0016669176276576405,0.7,combined,4267.131432976433,2139.590907002484,0.8449765213814718,0.42368136772326415,10,10,2920,0.01170865501098316,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
thr_wing,Wing length,15,14,Lauvøya,688,4945,0.09791061989944154,0.22414295930812958,-0.12623233940868805,63504.4220053902,4.802803967586068,4000,4000,pc_logistic,PC logistic,4.0,0.0006610895667028837,100,100,0.5805917883505638,0.3,combined,3507.4138382114243,433.97884931468445,0.7092849015594387,0.08776114242966318,10,10,2815,0.010502109546836051,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_wing\e6_pc_ridge_importance_thr_wing_results.json
