trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,10,pevmean_ga,500,0.226694550194027,,1.4043519496917725,1
body_mass,10,pevmean_ga,1000,0.2858904440356997,,1.3802728652954102,1
body_mass,10,pevmean_ga,1500,0.0842193860754127,,1.4259554147720337,1
body_mass,10,pevmean_ga,2000,0.1829912996157816,,1.4122130870819092,1
body_mass,10,pevmean_ga,2500,0.1920049847268783,,1.3869074583053589,1
body_mass,10,pevmean_ga,3000,0.1028057637828985,,1.457962155342102,1
body_mass,10,pevmean_ga,3500,0.1457128633878477,,1.4208284616470337,1
body_mass,10,pevmean_ga,4000,0.2428188822505441,,1.3714475631713867,1
body_mass,10,pevmean_ga,4500,0.2547980748398396,,1.357211947441101,1
body_mass,10,pevmean_ga,5524,0.2727841989635033,,1.3489103317260742,1
body_mass,10,random_individual,5524,0.2727841989635033,,1.3489103317260742,1
body_mass,11,pevmean_ga,500,0.1697177415838215,,0.9457902312278748,1
body_mass,11,pevmean_ga,1000,0.1691469559239035,,0.9452892541885376,1
body_mass,11,pevmean_ga,1500,0.1718520469009814,,0.9508318305015564,1
body_mass,11,pevmean_ga,2000,0.1272876785303741,,0.9633610248565674,1
body_mass,11,pevmean_ga,2500,0.1754454690384206,,0.9432870149612428,1
body_mass,11,pevmean_ga,3000,0.1695265917181141,,0.951049506664276,1
body_mass,11,pevmean_ga,3500,0.1291809173456047,,0.9658016562461852,1
body_mass,11,pevmean_ga,4000,0.1812342767155468,,0.946239411830902,1
body_mass,11,pevmean_ga,4500,0.1578166145875202,,0.9541922211647034,1
body_mass,11,pevmean_ga,5114,0.1668903983792408,,0.9536275267601012,1
body_mass,11,random_individual,5114,0.1668903983792408,,0.9536275267601012,1
body_mass,12,pevmean_ga,500,0.2459247956305811,,1.1804457902908323,1
body_mass,12,pevmean_ga,1000,0.1178757224210074,,1.2145822048187256,1
body_mass,12,pevmean_ga,1500,0.0487247833241321,,1.2448034286499023,1
body_mass,12,pevmean_ga,2000,0.1362710527776101,,1.2139493227005005,1
body_mass,12,pevmean_ga,2500,0.133767637430509,,1.2114700078964231,1
body_mass,12,pevmean_ga,3000,0.1319291455547488,,1.2146456241607666,1
body_mass,12,pevmean_ga,3500,0.1334928226007783,,1.2258204221725464,1
body_mass,12,pevmean_ga,4000,0.0506643714583235,,1.2646281719207764,1
body_mass,12,pevmean_ga,4500,0.1145492801013639,,1.2240321636199951,1
body_mass,12,pevmean_ga,5300,0.1136384500331256,,1.2343655824661257,1
body_mass,12,random_individual,5300,0.1136384500331256,,1.2343655824661257,1
body_mass,13,pevmean_ga,500,0.0869410265390255,,1.0179262161254885,1
body_mass,13,pevmean_ga,1000,0.085586758096591,,1.0183842182159424,1
body_mass,13,pevmean_ga,1500,0.0471301623188347,,1.0285651683807373,1
body_mass,13,pevmean_ga,2000,0.1413381358793332,,1.002833127975464,1
body_mass,13,pevmean_ga,2500,0.0740175605385618,,1.0309062004089355,1
body_mass,13,pevmean_ga,3000,0.0761769459738282,,1.0360151529312134,1
body_mass,13,pevmean_ga,3500,0.1112886620980435,,1.0211210250854492,1
body_mass,13,pevmean_ga,4000,0.1153376409096542,,1.0134295225143433,1
body_mass,13,pevmean_ga,4500,0.0792278103766626,,1.0307767391204834,1
body_mass,13,pevmean_ga,5113,0.1046675649611283,,1.0227527618408203,1
body_mass,13,random_individual,5113,0.1046675649611283,,1.0227527618408203,1
body_mass,14,pevmean_ga,500,0.0537782855782599,,0.9843675494194032,1
body_mass,14,pevmean_ga,1000,0.0849236159803298,,0.9834578633308412,1
body_mass,14,pevmean_ga,1500,0.0898199483596115,,0.9784140586853028,1
body_mass,14,pevmean_ga,2000,0.1246949317749011,,0.9705960750579834,1
body_mass,14,pevmean_ga,2500,0.0736273532334873,,0.9814643263816832,1
body_mass,14,pevmean_ga,3000,0.1170906175060374,,0.9686384201049804,1
body_mass,14,pevmean_ga,3500,0.1022193833790739,,0.9818149209022522,1
body_mass,14,pevmean_ga,4000,0.0954508749955165,,0.9774543642997742,1
body_mass,14,pevmean_ga,4500,0.0876501281485062,,0.9855520129203796,1
body_mass,14,pevmean_ga,5211,0.1088495381969824,,0.9787582755088806,1
body_mass,14,random_individual,5211,0.1088495381969824,,0.9787582755088806,1
body_mass,15,pevmean_ga,500,0.0030497636184188,,0.903156042098999,1
