n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
5438,-0.0119373752901561,1.4334732294082642,random_individual,-2,50731.59388506523,7,Onøy og Lurøy,0,546911525,body_mass
1500,0.0217559240022038,1.3984116315841677,pevmean_ga,-1,56077.431889218016,7,Onøy og Lurøy,0,546911525,body_mass
4500,0.0106204885711146,1.416243076324463,pevmean_ga,-1,51580.26831012689,7,Onøy og Lurøy,0,546911525,body_mass
1000,0.1691469559239035,0.9452892541885376,pevmean_ga,-1,62924.93157389067,11,Southern 1,0,707858893,body_mass
3000,0.1695265917181141,0.951049506664276,pevmean_ga,-1,59993.49724834939,11,Southern 1,0,707858893,body_mass
2500,0.01624355083014,0.9141380190849304,pevmean_ga,-1,62530.48432175673,15,Southern 5,0,1988484267,body_mass
4000,0.0035858624725712,0.9332646131515504,pevmean_ga,-1,61190.8778196193,15,Southern 5,0,1988484267,body_mass
1000,0.2486217453824272,1.2766577005386353,pevmean_ga,-1,56572.45976057831,0,Nesøy,0,744452614,body_mass
3500,0.2489539597535964,1.3103266954421997,pevmean_ga,-1,52262.89047765837,0,Nesøy,0,744452614,body_mass
2500,0.0780039251098086,1.4868017435073853,pevmean_ga,-1,54909.97429558435,4,Gjerøy,0,1623418790,body_mass
5539,0.4089254552977253,0.8250023722648621,pevmean_ga,-2,48643.06266875075,8,Lovund,0,1690148911,body_mass
5539,0.4089254552977253,0.8250023722648621,random_individual,-2,48643.06266875075,8,Lovund,0,1690148911,body_mass
2000,0.3579088565720948,0.8766918182373047,pevmean_ga,-1,53564.62579855806,8,Lovund,0,1690148911,body_mass
4500,0.3867353154044121,0.8490146398544312,pevmean_ga,-1,49549.304091007165,8,Lovund,0,1690148911,body_mass
1000,0.1178757224210074,1.2145822048187256,pevmean_ga,-1,61979.68548409143,12,Southern 2,0,1717623462,body_mass
3500,0.1334928226007783,1.2258204221725464,pevmean_ga,-1,58663.78502419187,12,Southern 2,0,1717623462,body_mass
1000,0.266183937374391,1.6658729314804075,pevmean_ga,-1,55778.02691447098,1,Myken,0,1714262082,body_mass
3500,0.3735612181244529,1.559882402420044,pevmean_ga,-1,50828.8371833977,1,Myken,0,1714262082,body_mass
2500,0.1241206197028804,1.5904054641723633,pevmean_ga,-1,55244.46338718231,5,Hestmannøy,0,713757009,body_mass
5531,0.1775904534057232,0.9695125818252563,pevmean_ga,-2,48758.79313586053,9,Sleneset,0,201727611,body_mass
5531,0.1775904534057232,0.9695125818252563,random_individual,-2,48758.79313586053,9,Sleneset,0,201727611,body_mass
2000,0.1059911769256987,1.0061402320861816,pevmean_ga,-1,53361.83238269941,9,Sleneset,0,201727611,body_mass
4500,0.1406531867593217,0.9904443025588988,pevmean_ga,-1,49651.327072497166,9,Sleneset,0,201727611,body_mass
1000,0.085586758096591,1.0183842182159424,pevmean_ga,-1,63752.481710331056,13,Southern 3,0,343987298,body_mass
3500,0.1112886620980435,1.0211210250854492,pevmean_ga,-1,60805.85326944241,13,Southern 3,0,343987298,body_mass
1000,0.2413724373451257,1.185706377029419,pevmean_ga,-1,56950.01711134339,2,Træna,0,405385771,body_mass
3500,0.1333784558460301,1.2359089851379397,pevmean_ga,-1,52012.583321469705,2,Træna,0,405385771,body_mass
2500,0.3034299614859299,1.4621461629867554,pevmean_ga,-1,52148.62078127301,6,Indre Kvarøy,0,2036077539,body_mass
5524,0.2727841989635033,1.3489103317260742,pevmean_ga,-2,60338.0467332525,10,Aldra,0,2138453555,body_mass
5524,0.2727841989635033,1.3489103317260742,random_individual,-2,60338.0467332525,10,Aldra,0,2138453555,body_mass
2000,0.1829912996157816,1.4122130870819092,pevmean_ga,-1,66416.89812105405,10,Aldra,0,2138453555,body_mass
4500,0.2547980748398396,1.357211947441101,pevmean_ga,-1,61795.13018743166,10,Aldra,0,2138453555,body_mass
1000,0.0849236159803298,0.9834578633308412,pevmean_ga,-1,64743.12061067088,14,Southern 4,0,1319110456,body_mass
3500,0.1022193833790739,0.9818149209022522,pevmean_ga,-1,61860.39076226912,14,Southern 4,0,1319110456,body_mass
1000,0.2165191332940496,0.9072128534317015,pevmean_ga,-1,56621.759148032645,3,Selvær,0,261820732,body_mass
3500,0.2076639599830017,0.925941526889801,pevmean_ga,-1,50776.83084871186,3,Selvær,0,261820732,body_mass
2500,0.0208209635118763,1.414678692817688,pevmean_ga,-1,54253.39498501686,7,Onøy og Lurøy,0,546911525,body_mass
5114,0.1668903983792408,0.9536275267601012,pevmean_ga,-2,58023.76700326315,11,Southern 1,0,707858893,body_mass
5114,0.1668903983792408,0.9536275267601012,random_individual,-2,58023.76700326315,11,Southern 1,0,707858893,body_mass
2000,0.1272876785303741,0.9633610248565674,pevmean_ga,-1,61164.99204747743,11,Southern 1,0,707858893,body_mass
4500,0.1578166145875202,0.9541922211647034,pevmean_ga,-1,58496.70221426796,11,Southern 1,0,707858893,body_mass
1000,0.0739864217147562,0.8870793581008911,pevmean_ga,-1,64412.518180852094,15,Southern 5,0,1988484267,body_mass
3500,-0.0213851526062175,0.9463846683502196,pevmean_ga,-1,61594.120621806585,15,Southern 5,0,1988484267,body_mass
2000,0.2041543309014726,1.313065528869629,pevmean_ga,-1,54358.04521805842,0,Nesøy,0,744452614,body_mass
3000,0.2206129812493412,1.327450394630432,pevmean_ga,-1,52810.278338753495,0,Nesøy,0,744452614,body_mass
3500,0.1490868086112932,1.456748604774475,pevmean_ga,-1,53574.418278858415,4,Gjerøy,0,1623418790,body_mass
500,0.3323059736172857,0.9002916216850281,pevmean_ga,-1,58114.20548866819,8,Lovund,0,1690148911,body_mass
1500,0.3646153418436602,0.8673458695411682,pevmean_ga,-1,54717.45004726559,8,Lovund,0,1690148911,body_mass
5300,0.1136384500331256,1.2343655824661257,pevmean_ga,-2,57110.67535960736,12,Southern 2,0,1717623462,body_mass
5300,0.1136384500331256,1.2343655824661257,random_individual,-2,57110.67535960736,12,Southern 2,0,1717623462,body_mass
3000,0.1319291455547488,1.2146456241607666,pevmean_ga,-1,59222.468200922034,12,Southern 2,0,1717623462,body_mass
4500,0.1145492801013639,1.2240321636199951,pevmean_ga,-1,57760.649185216826,12,Southern 2,0,1717623462,body_mass
2000,0.2955645037604929,1.6523051261901855,pevmean_ga,-1,52961.977922725535,1,Myken,0,1714262082,body_mass
3000,0.3434279523635877,1.596747636795044,pevmean_ga,-1,51436.22432234576,1,Myken,0,1714262082,body_mass
3500,0.1681598479025978,1.5591511726379397,pevmean_ga,-1,53885.80675458351,5,Hestmannøy,0,713757009,body_mass
500,0.1409796131836886,0.9785974621772766,pevmean_ga,-1,58066.72405832178,9,Sleneset,0,201727611,body_mass
1500,0.1992436027232817,0.9507826566696168,pevmean_ga,-1,54911.7840224908,9,Sleneset,0,201727611,body_mass
5113,0.1046675649611283,1.0227527618408203,pevmean_ga,-2,59568.70637049993,13,Southern 3,0,343987298,body_mass
5113,0.1046675649611283,1.0227527618408203,random_individual,-2,59568.70637049993,13,Southern 3,0,343987298,body_mass
3000,0.0761769459738282,1.0360151529312134,pevmean_ga,-1,61224.93404419067,13,Southern 3,0,343987298,body_mass
4500,0.0792278103766626,1.0307767391204834,pevmean_ga,-1,59983.794071314114,13,Southern 3,0,343987298,body_mass
2000,0.0856412279115145,1.245081663131714,pevmean_ga,-1,54680.329531184245,2,Træna,0,405385771,body_mass
3000,0.1570536542022591,1.2266722917556765,pevmean_ga,-1,52653.10845017353,2,Træna,0,405385771,body_mass
3500,0.2644327276366346,1.4789284467697144,pevmean_ga,-1,50479.17142817183,6,Indre Kvarøy,0,2036077539,body_mass
500,0.226694550194027,1.4043519496917725,pevmean_ga,-1,70393.86506853696,10,Aldra,0,2138453555,body_mass
1500,0.0842193860754127,1.4259554147720337,pevmean_ga,-1,67587.07911455403,10,Aldra,0,2138453555,body_mass
5211,0.1088495381969824,0.9787582755088806,pevmean_ga,-2,60684.12173394787,14,Southern 4,0,1319110456,body_mass
5211,0.1088495381969824,0.9787582755088806,random_individual,-2,60684.12173394787,14,Southern 4,0,1319110456,body_mass
3000,0.1170906175060374,0.9686384201049804,pevmean_ga,-1,62279.66524751455,14,Southern 4,0,1319110456,body_mass
4500,0.0876501281485062,0.9855520129203796,pevmean_ga,-1,61106.761198991466,14,Southern 4,0,1319110456,body_mass
2000,0.1869490567960212,0.9538580775260924,pevmean_ga,-1,53488.13498850303,3,Selvær,0,261820732,body_mass
3000,0.2003748425636668,0.9260522723197936,pevmean_ga,-1,51602.16298421482,3,Selvær,0,261820732,body_mass
3500,0.0227235392896753,1.398520588874817,pevmean_ga,-1,52770.8808887038,7,Onøy og Lurøy,0,546911525,body_mass
500,0.1697177415838215,0.9457902312278748,pevmean_ga,-1,64009.72623706792,11,Southern 1,0,707858893,body_mass
1500,0.1718520469009814,0.9508318305015564,pevmean_ga,-1,61971.3019847507,11,Southern 1,0,707858893,body_mass
5495,-0.0538122326796296,0.9647695422172546,pevmean_ga,-2,60230.983424185855,15,Southern 5,0,1988484267,body_mass
5495,-0.0538122326796296,0.9647695422172546,random_individual,-2,60230.983424185855,15,Southern 5,0,1988484267,body_mass
3000,0.0198687568221109,0.915452003479004,pevmean_ga,-1,62000.05902128804,15,Southern 5,0,1988484267,body_mass
4500,-0.0769288195605782,0.9716861248016356,pevmean_ga,-1,60805.03021806051,15,Southern 5,0,1988484267,body_mass
2500,0.2098797514240525,1.2993099689483645,pevmean_ga,-1,53609.8194116167,0,Nesøy,0,744452614,body_mass
4000,0.226059253535434,1.3021612167358398,pevmean_ga,-1,51771.68789048982,0,Nesøy,0,744452614,body_mass
2000,0.0487837864246505,1.5132464170455933,pevmean_ga,-1,55596.42025806653,4,Gjerøy,0,1623418790,body_mass
4000,0.081676988447778,1.4902667999267578,pevmean_ga,-1,52970.52965643328,4,Gjerøy,0,1623418790,body_mass
3500,0.3946745176511295,0.8499108552932739,pevmean_ga,-1,50917.18964712349,8,Lovund,0,1690148911,body_mass
500,0.2459247956305811,1.1804457902908323,pevmean_ga,-1,62957.640389026616,12,Southern 2,0,1717623462,body_mass
