n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
9,6,1190,0.09066021588206422,0.6789818406105042,random_individual,4,6,1190,3
8,7,1392,0.1488094537400581,0.6628871560096741,random_individual,4,7,1392,3
7,8,1558,0.018074810313483652,0.6777278184890747,random_individual,4,8,1558,3
6,9,2142,-0.04243988022244017,0.6889998912811279,random_individual,4,9,2142,3
5,10,2401,-0.028632144915340774,0.6893079280853271,random_individual,4,10,2401,3
4,11,3479,0.06140643898746175,0.6779192090034485,random_individual,4,11,3479,3
3,12,3965,0.04979326802029841,0.6807112097740173,random_individual,4,12,3965,3
2,13,4548,0.18754935713335819,0.6541381478309631,random_individual,4,13,4548,3
1,14,4945,0.1853003943963361,0.6492573022842407,random_individual,4,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,random_individual,4,15,5503,3
