target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
3,150.0,126,11,Southern 1,6.1,0.5676462121975467,7.864718868325027e-05,10
3,150.0,126,7,Onøy og Lurøy,6.5,2.3213980461973533,0.0001195247233839999,10
3,150.0,126,6,Indre Kvarøy,7.4,1.4298407059684812,3.233209422287285e-05,10
3,150.0,126,5,Hestmannøy,8.7,1.4181364924121764,1.1125723631424922e-05,10
3,150.0,126,0,Nesøy,9.3,3.7133393177689653,6.013890480306543e-07,10
3,150.0,126,10,Aldra,11.1,1.7919573407620817,-3.7494439666456776e-05,10
3,150.0,126,13,Southern 3,11.3,1.766981104093143,-2.137356224403088e-05,10
3,150.0,126,12,Southern 2,11.4,2.3664319132398464,-3.359453781174149e-05,10
3,150.0,126,4,Gjerøy,11.7,1.946506842754191,-4.01474771437536e-05,10
3,150.0,126,14,Southern 4,11.7,2.2135943621178655,-2.5299768331077973e-05,10
3,150.0,126,15,Southern 5,14.8,0.421637021355784,-0.00013499244083680124,10
3,150.0,127,1,Myken,1.6,1.07496769977314,0.0006003205828216565,10
3,150.0,127,8,Lovund,2.0,0.816496580927726,0.0005114136307967307,10
3,150.0,127,2,Træna,2.9,0.7378647873726218,0.00043152253214976625,10
3,150.0,127,9,Sleneset,3.5,0.8498365855987975,0.00030773484885595443,10
3,150.0,127,11,Southern 1,6.1,0.5676462121975467,7.873454863054847e-05,10
3,150.0,127,7,Onøy og Lurøy,6.5,2.3213980461973533,0.00011893525255427681,10
3,150.0,127,6,Indre Kvarøy,7.4,1.4298407059684812,3.207342183964163e-05,10
3,150.0,127,5,Hestmannøy,8.7,1.4181364924121764,1.1134402209386106e-05,10
3,150.0,127,0,Nesøy,9.4,3.835506630304673,9.977168409388963e-07,10
3,150.0,127,10,Aldra,11.1,1.7919573407620817,-3.75057027394365e-05,10
3,150.0,127,13,Southern 3,11.3,1.766981104093143,-2.127559513644433e-05,10
3,150.0,127,12,Southern 2,11.4,2.3664319132398464,-3.3632657405143214e-05,10
3,150.0,127,14,Southern 4,11.6,2.1186998109427604,-2.5256846702427927e-05,10
3,150.0,127,4,Gjerøy,11.7,1.946506842754191,-4.026621891564076e-05,10
3,150.0,127,15,Southern 5,14.8,0.421637021355784,-0.00013456202421955918,10
3,150.0,128,1,Myken,1.6,1.07496769977314,0.0006013154510061974,10
3,150.0,128,8,Lovund,2.1,0.8755950357709131,0.0005102324923863477,10
3,150.0,128,2,Træna,2.8,0.7888106377466155,0.0004317765451873872,10
3,150.0,128,9,Sleneset,3.5,0.8498365855987975,0.0003077013333121308,10
3,150.0,128,11,Southern 1,6.1,0.5676462121975467,7.899183146185846e-05,10
3,150.0,128,7,Onøy og Lurøy,6.5,2.3213980461973533,0.00011884614268777615,10
3,150.0,128,6,Indre Kvarøy,7.4,1.4298407059684812,3.218826785820908e-05,10
3,150.0,128,5,Hestmannøy,8.7,1.4181364924121764,1.113878476069669e-05,10
3,150.0,128,0,Nesøy,9.4,3.835506630304673,3.255865280518482e-07,10
3,150.0,128,10,Aldra,11.1,1.7919573407620817,-3.747569390585239e-05,10
3,150.0,128,13,Southern 3,11.3,1.766981104093143,-2.13038699438014e-05,10
3,150.0,128,12,Southern 2,11.4,2.3664319132398464,-3.374223008702441e-05,10
3,150.0,128,14,Southern 4,11.6,2.1186998109427604,-2.5260492778452306e-05,10
3,150.0,128,4,Gjerøy,11.7,1.946506842754191,-4.0442373294180537e-05,10
3,150.0,128,15,Southern 5,14.8,0.421637021355784,-0.00013415878404951178,10
3,150.0,129,1,Myken,1.6,1.07496769977314,0.0006009391700210977,10
3,150.0,129,8,Lovund,2.0,0.816496580927726,0.0005119023144772611,10
