n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
1500,pevmean_ga,-1,0.04457388293993414,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26517,73.17092932900414
2000,pevmean_ga,-1,0.038655529672902575,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26623,83.50105869304389
2500,pevmean_ga,-1,0.03361861364994775,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26649,92.29937530681491
3000,pevmean_ga,-1,0.030264585912689282,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26612,102.9190118634142
3500,pevmean_ga,-1,0.02804456576092182,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26644,112.6682287948206
4000,pevmean_ga,-1,0.026287693307323615,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26507,121.49162499699742
4500,pevmean_ga,-1,0.024789906748995724,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26508,129.7471515336074
500,pevmean_ga,-1,0.09436711675939219,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26601,53.40674457419664
1000,pevmean_ga,-1,0.05801665876381341,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26644,62.731230488047004
1500,pevmean_ga,-1,0.04519040059060387,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26699,73.47408817801625
2000,pevmean_ga,-1,0.03756734155217063,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26631,84.05927567509934
2500,pevmean_ga,-1,0.03393534494589211,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26674,92.86760252760723
3000,pevmean_ga,-1,0.030417139833530258,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26760,102.81583569012582
3500,pevmean_ga,-1,0.02804877346187822,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26631,113.41937490878627
4000,pevmean_ga,-1,0.026208818098523053,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26603,122.77878671977669
4500,pevmean_ga,-1,0.02484869539496025,100,502.6502333305817,2,Træna,1,1256116569,thr_tarsus,300,26633,128.88985638692975
500,pevmean_ga,-1,0.08604128985369917,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26393,53.83637086302042
1000,pevmean_ga,-1,0.056490104179077634,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26447,63.4504286958836
1500,pevmean_ga,-1,0.04421632652038761,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26564,73.4213821659796
2000,pevmean_ga,-1,0.03791734130921632,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26740,83.87438276503235
2500,pevmean_ga,-1,0.03360073018575467,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26665,92.86073701502755
3000,pevmean_ga,-1,0.030225732032906794,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26708,102.72374623874202
3500,pevmean_ga,-1,0.027875572330913777,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26627,113.28869240731001
4000,pevmean_ga,-1,0.026194536757386196,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26508,121.78687643818557
4500,pevmean_ga,-1,0.024820257846259276,100,502.6502333305817,2,Træna,2,803481440,thr_tarsus,300,26454,128.34625154407695
500,pevmean_ga,-1,0.09216501589444802,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26424,53.85518955998123
1000,pevmean_ga,-1,0.05862225207669244,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26718,63.58352264482528
1500,pevmean_ga,-1,0.04433096238726995,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26687,73.51231790985912
2000,pevmean_ga,-1,0.03797392807675141,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26621,83.60779272485524
2500,pevmean_ga,-1,0.03344314792704712,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26560,92.42612784076482
3000,pevmean_ga,-1,0.03019968945056436,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26616,103.00733732199296
3500,pevmean_ga,-1,0.028022161360847647,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26667,113.48572273598984
4000,pevmean_ga,-1,0.026213874226918912,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26441,122.33455844921991
4500,pevmean_ga,-1,0.024855878418478083,100,502.6502333305817,2,Træna,3,1705764116,thr_tarsus,300,26652,130.38718671305105
500,pevmean_ga,-1,0.08986218810697154,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26175,53.68010504869744
1000,pevmean_ga,-1,0.05785299562537094,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26581,63.25558687001467
1500,pevmean_ga,-1,0.04523751261821733,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26590,73.5326627669856
2000,pevmean_ga,-1,0.03829071613920183,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26571,83.70014822296798
2500,pevmean_ga,-1,0.03319022447148132,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26622,93.02196359727532
3000,pevmean_ga,-1,0.030276322108399107,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26739,103.34188636112958
3500,pevmean_ga,-1,0.027868518103486877,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26652,112.74862287892029
4000,pevmean_ga,-1,0.02620216593917479,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26726,123.06440680101514
4500,pevmean_ga,-1,0.02481712745202325,100,502.6502333305817,2,Træna,4,2026676072,thr_tarsus,300,26511,125.24749519536272
500,pevmean_ga,-1,0.08114832887321502,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26548,52.417457171250135
1000,pevmean_ga,-1,0.049687862973431175,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26632,62.638090090826154
1500,pevmean_ga,-1,0.03912247819119981,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26585,72.52882562670857
2000,pevmean_ga,-1,0.03241475940826356,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26612,82.97847264120355
2500,pevmean_ga,-1,0.028746926023722898,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26703,91.90759926568717
3000,pevmean_ga,-1,0.025965744604082075,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26606,101.85492710070685
3500,pevmean_ga,-1,0.023921214073680513,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26554,111.54832809697837
4000,pevmean_ga,-1,0.02231221574918539,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26551,121.861398762092
4500,pevmean_ga,-1,0.02117746716375989,100,502.6502333305817,3,Selvær,0,261820732,thr_tarsus,300,26656,129.75324930809438
500,pevmean_ga,-1,0.07934382446318046,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26572,52.614333112724125
1000,pevmean_ga,-1,0.049581975084586734,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26531,62.5205733878538
1500,pevmean_ga,-1,0.038577953816294135,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26577,72.76656632777303
2000,pevmean_ga,-1,0.03236615980939906,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26621,83.2443855702877
2500,pevmean_ga,-1,0.028755031814998656,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26534,91.93834693497047
3000,pevmean_ga,-1,0.02580619842053542,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26554,101.76386173209175
3500,pevmean_ga,-1,0.023685236431486737,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26672,112.89259441103786
4000,pevmean_ga,-1,0.022254738612423094,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26553,121.36632765596732
4500,pevmean_ga,-1,0.021148390232702492,100,502.6502333305817,3,Selvær,1,1117512274,thr_tarsus,300,26506,128.04085357813165
500,pevmean_ga,-1,0.08224679184936644,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26489,52.68592696497217
1000,pevmean_ga,-1,0.049600940120960134,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26589,62.7601845827885
1500,pevmean_ga,-1,0.03922659615099086,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26675,72.51927248202264
2000,pevmean_ga,-1,0.032777638414645933,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26651,83.19845758704469
2500,pevmean_ga,-1,0.0286693133711965,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26709,91.6445383229293
3000,pevmean_ga,-1,0.02592392676236952,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26724,102.93529937183484
3500,pevmean_ga,-1,0.02384314977069797,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26645,113.11762988381088
4000,pevmean_ga,-1,0.0222777778709237,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26616,122.36933971522376
4500,pevmean_ga,-1,0.02119326028801375,100,502.6502333305817,3,Selvær,2,1562338001,thr_tarsus,300,26628,129.77601962769404
500,pevmean_ga,-1,0.08351936625263279,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26479,52.68463372113183
1000,pevmean_ga,-1,0.0507810330678412,100,502.6502333305817,3,Selvær,3,980813718,thr_tarsus,300,26552,62.772559367120266
