trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
thr_tarsus,10,pevmean_ga,3000,0.3664490863353292,0.00192309126683855,518.987977840472,5
thr_tarsus,10,pevmean_ga,3500,0.328596653127847,0.0005484789474456799,568.9056468768977,5
thr_tarsus,10,pevmean_ga,4000,0.30007758895758563,0.0014334585776719368,617.4115662244149,5
thr_tarsus,10,pevmean_ga,4500,0.2770940599458711,0.0005073162977214493,654.580017995555,5
thr_tarsus,11,pevmean_ga,500,0.7729380910732544,0.008775949950939577,292.709875932429,5
thr_tarsus,11,pevmean_ga,1000,0.5121809993948819,0.0030379109709921448,340.8822588324547,5
thr_tarsus,11,pevmean_ga,1500,0.4049945799528111,0.0027721624949971673,389.70271650515497,5
thr_tarsus,11,pevmean_ga,2000,0.34150136020677396,0.0007761931783948853,440.36605412419885,5
thr_tarsus,11,pevmean_ga,2500,0.2986382522678191,0.0007074530179927877,483.0500453254208,5
thr_tarsus,11,pevmean_ga,3000,0.26798698214534655,0.000760369539004797,529.6510192300193,5
thr_tarsus,11,pevmean_ga,3500,0.24412448458247793,0.00045335388971696176,576.1743277478963,5
thr_tarsus,11,pevmean_ga,4000,0.2253940358731139,0.00038617626059213246,627.1746541019529,5
thr_tarsus,11,pevmean_ga,4500,0.21087970006907247,0.00018753236904787924,665.2431433517486,5
thr_tarsus,12,pevmean_ga,500,0.30744497339200516,0.004518911236169936,282.89000619389117,5
thr_tarsus,12,pevmean_ga,1000,0.21013049119698776,0.0012387922290628484,332.97066426929086,5
thr_tarsus,12,pevmean_ga,1500,0.1642456385558065,0.000480361977903107,382.0333422999829,5
thr_tarsus,12,pevmean_ga,2000,0.13913098307712143,0.0006495532659298793,431.54923966387287,5
thr_tarsus,12,pevmean_ga,2500,0.12225646621372013,0.0006667278299430407,476.08022301690653,5
thr_tarsus,12,pevmean_ga,3000,0.10925243364873687,0.0003039878265111602,523.6664050575346,5
thr_tarsus,12,pevmean_ga,3500,0.0997106289746715,0.00018430773903760827,572.5752186067402,5
thr_tarsus,12,pevmean_ga,4000,0.09213323202128731,0.0001651585874957294,620.1414513573982,5
thr_tarsus,12,pevmean_ga,4500,0.08609604792735934,8.427750875513116e-05,617.9412003783509,5
thr_tarsus,13,pevmean_ga,500,0.43365239814023687,0.002516836581467905,296.4190148571506,5
thr_tarsus,13,pevmean_ga,1000,0.2811980357761844,0.001196388907690083,342.6969842938706,5
thr_tarsus,13,pevmean_ga,1500,0.22093708630367556,0.0012303331453352767,391.8961183070205,5
thr_tarsus,13,pevmean_ga,2000,0.18380020410382142,0.00083390518653487,442.46068169362843,5
thr_tarsus,13,pevmean_ga,2500,0.15882062527070456,0.0003653843818240651,484.16699267644435,5
thr_tarsus,13,pevmean_ga,3000,0.14106070498061188,0.0003298603089278347,532.2420260799117,5
thr_tarsus,13,pevmean_ga,3500,0.12829057366823685,0.00039496298816751125,582.4114529523067,5
thr_tarsus,13,pevmean_ga,4000,0.11773399094052753,0.00017306897200433858,631.7839126498438,5
thr_tarsus,13,pevmean_ga,4500,0.10986217554731752,0.00010785709411756916,633.9258868363686,5
