trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
body_mass,avggrm_diversity_lam2,2500,0.1799232065667032,0.10306943278888529,998.2188313802084,36.7239090959019,15,2500,89093.2,2.4069578999769874
body_mass,avggrm_diversity_lam2,3000,0.1764791951913329,0.10263056190483781,998.2265869140625,36.741330329278405,15,2500,89093.2,2.689661399956094
body_mass,avggrm_diversity_lam2,3500,0.18214435003955445,0.1175332068169577,998.1857055664062,36.65431689416824,15,2500,89093.2,2.9803630000387784
body_mass,avggrm_diversity_lam2,4000,0.18672313284599945,0.1113032438789633,998.1429484049479,36.782854313295154,15,2500,89093.2,3.2113370000151917
body_mass,avggrm_diversity_lam2,4500,0.19027099073242343,0.11568925703355296,997.8962809244791,36.79063739319695,15,2500,89093.2,3.470550800091587
body_mass,avggrm_topk,500,0.1635978918024294,0.06697456772547314,997.3085042317708,37.31245018083762,15,2500,89093.2,0.19423000002279878
body_mass,avggrm_topk,1000,0.17623645774454288,0.07970738410097823,997.3466837565104,36.696501582781366,15,2500,89093.2,0.4562734999053646
body_mass,avggrm_topk,1500,0.18004222504378198,0.090314554425904,997.7446533203125,36.607896873629436,15,2500,89093.2,0.9260998999816366
body_mass,avggrm_topk,2000,0.18055711980419506,0.09795293245356852,997.7504557291667,36.83733671467525,15,2500,89093.2,1.427309899998363
body_mass,avggrm_topk,2500,0.1860533104743138,0.10382814735687919,997.9092976888021,36.87553931867904,15,2500,89093.2,2.3411333999829367
body_mass,avggrm_topk,3000,0.18739688095881907,0.11088658213295113,997.9838704427083,36.950762523440794,15,2500,89093.2,2.5502119999437127
body_mass,avggrm_topk,3500,0.1898022466848986,0.11442431077325356,997.8913533528646,36.84089048501156,15,2500,89093.2,2.7776190000295173
body_mass,avggrm_topk,4000,0.19330690267859024,0.11253794146632135,997.9905232747395,36.77977423340122,15,2500,89093.2,3.1251921000075527
body_mass,avggrm_topk,4500,0.1920068187705314,0.11560874669497787,998.056465657552,36.89941089294472,15,2500,89093.2,3.263833999983035
body_mass,pca_target_topk,500,0.1376746710486052,0.07794690648995038,993.4564005533854,36.17897274400764,15,2500,89093.2,0.17362970000249334
body_mass,pca_target_topk,1000,0.14400231806295724,0.08341368666764094,995.0430582682292,36.76125941541837,15,2500,89093.2,0.4395863999670837
body_mass,pca_target_topk,1500,0.17033422132591186,0.09358414893176692,996.4695719401042,36.70207601281587,15,2500,89093.2,0.8928589999850374
body_mass,pca_target_topk,2000,0.18418248462459033,0.09162829566545773,996.907645670573,36.674573636259915,15,2500,89093.2,1.4574156999588013
body_mass,pca_target_topk,2500,0.17913828907540422,0.09119979546108713,997.4767618815105,36.939370152399256,15,2500,89093.2,2.340364599978784
body_mass,pca_target_topk,3000,0.18433535030649292,0.09756080880500835,997.5382405598958,36.8608610581901,15,2500,89093.2,2.5987003999762237
body_mass,pca_target_topk,3500,0.18354243083903407,0.09519011532488741,997.8737996419271,36.80439383450423,15,2500,89093.2,2.8388916999683715
body_mass,pca_target_topk,4000,0.18880355839093543,0.1000759406558018,997.923994954427,36.82608140678943,15,2500,89093.2,3.0371122000506148
body_mass,pca_target_topk,4500,0.18705876491671247,0.1041475435838808,998.0666463216146,36.78752750624673,15,2500,89093.2,3.3855951000587083
