ringnr,island,score,rank
8N05717,6,-0.00031359803506347816,515
8N05916,9,-0.00031331984428106807,516
8N28223,9,-0.00031326529460784514,517
8L30752,11,-0.0003132485453534173,518
8N05675,15,-0.0003115245999651961,519
8M31927,5,-0.000311500218231231,520
8N87926,13,-0.00031139801285462454,521
8N27216,14,-0.000310614495901973,522
8L89118,13,-0.00031033378036227077,523
8N28142,8,-0.0003097008739132434,524
8732565,4,-0.0003094998237429536,525
8L52211,5,-0.0003093899313171278,526
8N13863,15,-0.00030880352824169677,527
8L64280,5,-0.00030821740574538126,528
8M71831,4,-0.0003078826703131199,529
8M71348,12,-0.00030786910519964295,530
8L52203,8,-0.0003071974279009737,531
8L30972,9,-0.00030714235072082374,532
8981345,11,-0.0003068014566451893,533
8N72719,4,-0.0003066134700020484,534
8N87603,15,-0.0003056124442082364,535
8573521,2,-0.0003054316675843438,536
8N72682,11,-0.0003042913403987768,537
8857284,10,-0.00030423887619690504,538
8939293,12,-0.00030287376557680545,539
8L89502,5,-0.00030205836810637265,540
8747121,8,-0.00030159745529090287,541
8M31926,5,-0.0003012709888707832,542
8N14671,13,-0.0003011356347997207,543
8N13619,14,-0.0003011306589542073,544
8M31337,5,-0.0002997107512783259,545
8800196,6,-0.0002967279606309603,546
8857415,5,-0.0002962388207379263,547
8L64075,11,-0.00029538809940277133,548
8573856,4,-0.00029518865994759835,549
8N73291,2,-0.0002945089090644615,550
8N14647,13,-0.00029392346550594084,551
8168702,5,-0.00029123674357833806,552
8N06979,4,-0.0002903748300013831,553
8934577,8,-0.0002900498639064608,554
8L64933,5,-0.0002899632054322865,555
8L30444,4,-0.0002898458351410227,556
