n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
10,5,1688,0.12962814782618967,1.0575257539749146,random_individual,4,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.1329784938566627,1.0543767213821411,random_individual,4,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.10608316649061336,1.0566141605377197,random_individual,4,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.1461016740194864,1.0463203191757202,random_individual,4,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.13470927380748757,1.0480185747146606,random_individual,4,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.13553863326190393,1.0475070476531982,random_individual,4,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.14391424795440488,1.044677495956421,random_individual,4,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.1427687394986994,1.0460611581802368,random_individual,4,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.1480198144244536,1.0449833869934082,random_individual,4,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.14061921756853024,1.0465136766433716,random_individual,4,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,random_individual,4,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,194,0.0911548493053221,1.1090893745422363,shapley_mean,-1,1,194,9,Sleneset,3,36289244,25,0.05
13,2,453,0.06025410726440559,1.1134600639343262,shapley_mean,-1,2,453,9,Sleneset,3,36289244,25,0.05
12,3,572,0.10900707382235772,1.1073133945465088,shapley_mean,-1,3,572,9,Sleneset,3,36289244,25,0.05
11,4,730,0.14740539852476592,1.0888373851776123,shapley_mean,-1,4,730,9,Sleneset,3,36289244,25,0.05
10,5,1314,0.15854712298331566,1.0880208015441895,shapley_mean,-1,5,1314,9,Sleneset,3,36289244,25,0.05
9,6,1487,0.17057662947588892,1.0855944156646729,shapley_mean,-1,6,1487,9,Sleneset,3,36289244,25,0.05
8,7,1884,0.1612886461089782,1.0881308317184448,shapley_mean,-1,7,1884,9,Sleneset,3,36289244,25,0.05
7,8,1976,0.1753942570833925,1.0842922925949097,shapley_mean,-1,8,1976,9,Sleneset,3,36289244,25,0.05
6,9,2559,0.18390946728727836,1.0813730955123901,shapley_mean,-1,9,2559,9,Sleneset,3,36289244,25,0.05
5,10,2851,0.15668856855597224,1.086654782295227,shapley_mean,-1,10,2851,9,Sleneset,3,36289244,25,0.05
4,11,3337,0.17501682901130539,1.0813102722167969,shapley_mean,-1,11,3337,9,Sleneset,3,36289244,25,0.05
3,12,3539,0.1822148400444554,1.0796749591827393,shapley_mean,-1,12,3539,9,Sleneset,3,36289244,25,0.05
2,13,4617,0.1500299308557068,1.08058500289917,shapley_mean,-1,13,4617,9,Sleneset,3,36289244,25,0.05
1,14,5175,0.10286692244016235,1.091658592224121,shapley_mean,-1,14,5175,9,Sleneset,3,36289244,25,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,shapley_mean,-1,15,5531,9,Sleneset,3,36289244,25,0.05
14,1,194,0.14363458115361347,1.1017944812774658,random_individual,0,1,194,9,Sleneset,3,36289244,25,0.05
13,2,453,0.06521091649139113,1.1117398738861084,random_individual,0,2,453,9,Sleneset,3,36289244,25,0.05
12,3,572,0.06890697215639478,1.1099655628204346,random_individual,0,3,572,9,Sleneset,3,36289244,25,0.05
11,4,730,-0.0018964445697782755,1.1162042617797852,random_individual,0,4,730,9,Sleneset,3,36289244,25,0.05
10,5,1314,0.10245041134195981,1.0973446369171143,random_individual,0,5,1314,9,Sleneset,3,36289244,25,0.05
9,6,1487,0.06158934355678935,1.1045440435409546,random_individual,0,6,1487,9,Sleneset,3,36289244,25,0.05
8,7,1884,0.10364745779348593,1.0963507890701294,random_individual,0,7,1884,9,Sleneset,3,36289244,25,0.05
7,8,1976,0.10100304139747746,1.0969080924987793,random_individual,0,8,1976,9,Sleneset,3,36289244,25,0.05
6,9,2559,0.0469118827167874,1.1078435182571411,random_individual,0,9,2559,9,Sleneset,3,36289244,25,0.05
5,10,2851,0.019395691840300107,1.1140273809432983,random_individual,0,10,2851,9,Sleneset,3,36289244,25,0.05
4,11,3337,0.09152938478573344,1.0960750579833984,random_individual,0,11,3337,9,Sleneset,3,36289244,25,0.05
3,12,3539,0.0828384125752865,1.0978959798812866,random_individual,0,12,3539,9,Sleneset,3,36289244,25,0.05
2,13,4617,0.11699829679518141,1.0871232748031616,random_individual,0,13,4617,9,Sleneset,3,36289244,25,0.05
1,14,5175,0.13517278896496546,1.0790536403656006,random_individual,0,14,5175,9,Sleneset,3,36289244,25,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,0,15,5531,9,Sleneset,3,36289244,25,0.05
14,1,194,0.09953243477600471,1.1106477975845337,random_individual,1,1,194,9,Sleneset,3,36289244,25,0.05
13,2,453,0.10975380711419067,1.0993561744689941,random_individual,1,2,453,9,Sleneset,3,36289244,25,0.05
12,3,572,0.07687817896494357,1.1050597429275513,random_individual,1,3,572,9,Sleneset,3,36289244,25,0.05
11,4,730,0.05667961444922445,1.1075955629348755,random_individual,1,4,730,9,Sleneset,3,36289244,25,0.05
