target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,500,0.0954215182574726,1.3032195568084717
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1000,0.1757632408527591,1.2877397537231443
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1500,0.1273830882553238,1.297111988067627
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2000,0.1637591753636133,1.290855884552002
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2500,0.1126726995099616,1.311251878738403
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3000,0.1296931299160047,1.3073408603668213
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3500,0.2093414598216177,1.2928675413131714
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4000,0.2254821870886731,1.2891714572906494
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4500,0.221518936981514,1.293859601020813
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,50,0.0330629632583293,1.3126161098480225
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,100,0.2843841818505118,1.285832762718201
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,250,0.2871343389753079,1.2806650400161743
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,500,0.2217743953704916,1.2820892333984375
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1000,0.2797501264837254,1.2762460708618164
