repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,method,weight
1,581145443,3,Selvær,194,-0.03953696396333534,-0.00020379878331616157,shifted_relu,0.9999999999999998
1,581145443,5,Hestmannøy,1078,-0.047769855067903634,-4.4313409153899476e-05,shifted_relu,0.9999999999999998
1,581145443,6,Indre Kvarøy,356,0.07057756998003631,0.0001982516010675177,shifted_relu,0.9999999999999998
1,581145443,7,Onøy og Lurøy,259,0.014083323313262912,5.437576568827379e-05,shifted_relu,0.9999999999999998
1,581145443,8,Lovund,158,0.03679643326812806,0.00023288881815270923,shifted_relu,0.9999999999999998
1,581145443,9,Sleneset,166,-0.006539845811497888,-3.939666151504752e-05,shifted_relu,0.9999999999999998
1,581145443,10,Aldra,173,-0.06607511343985588,-0.0003819370719066814,shifted_relu,0.9999999999999998
1,581145443,11,Southern 1,583,0.08365966789986398,0.00014349857272703942,shifted_relu,0.9999999999999998
1,581145443,12,Southern 2,397,0.010750059544084927,2.7078235627417955e-05,shifted_relu,0.9999999999999998
1,581145443,13,Southern 3,584,-0.07384422181005583,-0.00012644558529119148,shifted_relu,0.9999999999999998
1,581145443,14,Southern 4,486,-0.029711669522660765,-6.113512247461063e-05,shifted_relu,0.9999999999999998
1,581145443,15,Southern 5,202,-0.006559270369999027,-3.247163549504469e-05,shifted_relu,0.9999999999999998
2,1198679252,0,Nesøy,119,0.09568172840381269,0.0008040481378471655,relu,0.9999999999999998
2,1198679252,1,Myken,92,-0.01803301854306825,-0.00019601107112030708,relu,0.9999999999999998
2,1198679252,2,Træna,292,0.033509388647746004,0.00011475818030050001,relu,0.9999999999999998
2,1198679252,3,Selvær,194,0.0051502721184556064,2.65477944250289e-05,relu,0.9999999999999998
2,1198679252,5,Hestmannøy,1078,0.13215341371005634,0.00012259129286647157,relu,0.9999999999999998
2,1198679252,6,Indre Kvarøy,356,0.10686127292817639,0.00030017211496678763,relu,0.9999999999999998
2,1198679252,7,Onøy og Lurøy,259,-0.021959979788647707,-8.478756675153555e-05,relu,0.9999999999999998
2,1198679252,8,Lovund,158,0.028614378462804714,0.00018110366115699187,relu,0.9999999999999998
2,1198679252,9,Sleneset,166,-0.001806376678258742,-1.0881787218426157e-05,relu,0.9999999999999998
2,1198679252,10,Aldra,173,-0.026146750172902033,-0.00015113728423642793,relu,0.9999999999999998
2,1198679252,11,Southern 1,583,0.021102716298517607,3.6196768951145126e-05,relu,0.9999999999999998
2,1198679252,12,Southern 2,397,-0.02462591373220706,-6.203000940102534e-05,relu,0.9999999999999998
2,1198679252,13,Southern 3,584,-0.02858767575184007,-4.895149957506861e-05,relu,0.9999999999999998
2,1198679252,14,Southern 4,486,-0.012640818652105543,-2.6009914922027867e-05,relu,0.9999999999999998
2,1198679252,15,Southern 5,202,-0.034872959059478806,-0.00017263841118553863,relu,0.9999999999999998
2,1198679252,0,Nesøy,119,0.09568172840381269,0.0008040481378471655,softmax,1.0014980399761768
2,1198679252,1,Myken,92,-0.01803301854306825,-0.00019601107112030708,softmax,0.9994969271992721
2,1198679252,2,Træna,292,0.033509388647746004,0.00011475818030050001,softmax,1.0001183461208865
2,1198679252,3,Selvær,194,0.0051502721184556064,2.65477944250289e-05,softmax,0.9999419200334924
2,1198679252,5,Hestmannøy,1078,0.13215341371005634,0.00012259129286647157,softmax,1.0001340143227857
2,1198679252,6,Indre Kvarøy,356,0.10686127292817639,0.00030017211496678763,softmax,1.000489286649551
2,1198679252,7,Onøy og Lurøy,259,-0.021959979788647707,-8.478756675153555e-05,softmax,0.9997192870316929
2,1198679252,8,Lovund,158,0.028614378462804714,0.00018110366115699187,softmax,1.0002510615909368
2,1198679252,9,Sleneset,166,-0.001806376678258742,-1.0881787218426157e-05,softmax,0.9998670680197376
2,1198679252,10,Aldra,173,-0.026146750172902033,-0.00015113728423642793,softmax,0.9995866336488843
