ringnr,island,score,rank
8732641,5,-3.815805553131213e-05,372
8N27904,6,-3.8129292533994885e-05,373
8N72519,4,-3.802832111432508e-05,374
8747703,5,-3.802738615377166e-05,375
8747498,3,-3.800159379352408e-05,376
8M72013,3,-3.793936139118159e-05,377
8N13426,2,-3.793506992622042e-05,378
8N06808,6,-3.782882140512811e-05,379
8747492,3,-3.782522117035114e-05,380
8118435,4,-3.778198515647091e-05,381
8L48318,5,-3.778077757488063e-05,382
8747897,7,-3.772927993850317e-05,383
8934039,3,-3.7690310819016304e-05,384
8651534,4,-3.7585158679576125e-05,385
8N14977,7,-3.741060208994895e-05,386
8N14057,6,-3.736051212399616e-05,387
8M31758,5,-3.7315584677344305e-05,388
8M71552,4,-3.72809686268738e-05,389
8573874,6,-3.7140713629923994e-05,390
8800163,7,-3.6964285698104504e-05,391
8981278,5,-3.690915991683141e-05,392
8917929,3,-3.689994332489732e-05,393
8N14437,5,-3.6835788250755286e-05,394
8981605,10,-3.6756341614818666e-05,395
8816943,4,-3.674251684060437e-05,396
8N13967,6,-3.672072307381313e-05,397
8P26560,8,-3.667668772777688e-05,398
8816942,4,-3.667147529995418e-05,399
8L19877,5,-3.666680186142912e-05,400
8N73501,5,-3.665043720957328e-05,401
8L89372,5,-3.66016920452239e-05,402
8N87284,3,-3.649154746199201e-05,403
8N27864,6,-3.644423827608989e-05,404
8N14050,6,-3.634314043665654e-05,405
8P11794,2,-3.631178742580232e-05,406
8M71705,8,-3.629214825195959e-05,407
8P11321,4,-3.6243376143829664e-05,408
8800338,7,-3.624125224632735e-05,409
8651907,2,-3.6159469118501875e-05,410
8N05707,4,-3.6114836802880745e-05,411
8N42647,7,-3.607528901738988e-05,412
8934373,5,-3.5873454635293456e-05,413
8N87730,5,-3.575739401640021e-05,414
8168639,4,-3.565980046005279e-05,415
8934526,1,-3.5458647516861674e-05,416
8L49934,1,-3.54368967236951e-05,417
8934414,8,-3.540899757581428e-05,418
8N05818,7,-3.539994531820412e-05,419
8L48451,5,-3.529739478835836e-05,420
8L52596,5,-3.529316700223717e-05,421
8N73510,5,-3.521082226143335e-05,422
8651778,2,-3.5186063541914336e-05,423
8681076,5,-3.517158933163955e-05,424
8732659,5,-3.5045518870902015e-05,425
8943737,5,-3.503451966935245e-05,426
8943109,10,-3.503155130601954e-05,427
8981607,10,-3.49675869983912e-05,428
8681374,4,-3.494842917461938e-05,429
8L30917,2,-3.484450894575275e-05,430
8L48425,7,-3.473352376204275e-05,431
8939353,5,-3.4713432029320757e-05,432
8816408,5,-3.450981603236869e-05,433
8L26586,5,-3.442635670580785e-05,434
8168644,5,-3.4375715358692105e-05,435
8943894,5,-3.437264899730508e-05,436
8N05513,8,-3.429034768487327e-05,437
8M72929,5,-3.427808019296208e-05,438
8L48607,6,-3.427769001973502e-05,439
8L19958,10,-3.41726076840132e-05,440
8747935,4,-3.4169223908975255e-05,441
8887406,10,-3.415214905544417e-05,442
8N05526,4,-3.398130968434998e-05,443
8934224,4,-3.39413763867924e-05,444
8N13425,9,-3.389385256014066e-05,445
8309143,4,-3.3799804441514425e-05,446
8887360,10,-3.371268019236595e-05,447
8N42531,4,-3.369613796166959e-05,448
8866790,5,-3.3692789202177664e-05,449
8887286,5,-3.355731223564362e-05,450
8747742,9,-3.3550295938766794e-05,451
8747167,8,-3.353751833401475e-05,452
8L64901,5,-3.3506122235849034e-05,453
8N05714,6,-3.3502216183478595e-05,454
8N72206,2,-3.3462149986007717e-05,455
8P14585,8,-3.340214448144252e-05,456
8747519,5,-3.3379013984813355e-05,457
8M31873,5,-3.331477796564286e-05,458
8L57916,2,-3.32881465965329e-05,459
8N72554,6,-3.323548867228965e-05,460
8L19661,2,-3.322084512547008e-05,461
8309267,5,-3.319024790471303e-05,462
8747583,2,-3.3171975701407064e-05,463
