trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42289,8N42289,5,Hestmannøy,1061,0.0030683784411529914,1.1814424993739465
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42293,8N42293,4,Gjerøy,2088,0.00013905197877016882,1.086666517050223
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42397,8N42397,5,Hestmannøy,2056,0.00021381530672689658,1.0890854239012968
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42424,8N42424,14,Southern 4,4779,-0.012095914008067308,0.6908141137791232
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42431,8N42431,14,Southern 4,5203,-0.013789126149912567,0.6360316079414831
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42438,8N42438,14,Southern 4,4979,-0.012651290095309986,0.6728453708262758
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42441,8N42441,14,Southern 4,5042,-0.012922282048536876,0.6640776459247599
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42442,8N42442,14,Southern 4,4764,-0.012060480046376346,0.6919605508765269
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42451,8N42451,14,Southern 4,3862,-0.009552515359658368,0.7731037146274038
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42457,8N42457,14,Southern 4,4783,-0.012110447121820325,0.6903439066684265
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42463,8N42463,14,Southern 4,5288,-0.014669966013012938,0.607532748436652
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42476,8N42476,14,Southern 4,4803,-0.012149442568820138,0.6890822406018339
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42497,8N42497,14,Southern 4,3824,-0.009378485377807756,0.7787343135707032
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42498,8N42498,14,Southern 4,4371,-0.011021793702011376,0.725566405286264
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42499,8N42499,14,Southern 4,4483,-0.01129034672128296,0.7168775901151608
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42500,8N42500,14,Southern 4,3883,-0.00963462369746955,0.770447165938497
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42501,8N42501,5,Hestmannøy,899,0.0037716693226568718,1.2041969055522284
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42502,8N42502,5,Hestmannøy,670,0.004816689751186557,1.2380076941188582
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42503,8N42503,5,Hestmannøy,2503,-0.0011737975526386365,1.0441903350403499
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42505,8N42505,5,Hestmannøy,817,0.00410834473337102,1.2150897654585704
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42507,8N42507,5,Hestmannøy,868,0.003879754092241174,1.20769390062708
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42509,8N42509,5,Hestmannøy,742,0.004491486296153673,1.2274860000360692
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42510,8N42510,5,Hestmannøy,124,0.01709750038922082,1.6353433639043802
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42513,8N42513,5,Hestmannøy,315,0.008797192769467596,1.3667936415182675
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42514,8N42514,5,Hestmannøy,537,0.005558651292299118,1.2620132581310597
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42517,8N42517,5,Hestmannøy,832,0.004056734621227701,1.2134199621303876
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42518,8N42518,5,Hestmannøy,1879,0.0006963298962824157,1.1046967921792636
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42519,8N42519,5,Hestmannøy,468,0.00623995275937771,1.284056214636646
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42520,8N42520,5,Hestmannøy,668,0.0048245099754700375,1.2382607111341948
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42521,8N42521,5,Hestmannøy,322,0.008459759487211624,1.3558762612927417
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42522,8N42522,5,Hestmannøy,2230,-0.0002714599348044553,1.0733847369672413
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42523,8N42523,5,Hestmannøy,439,0.0066445543617621936,1.297146771393693
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42525,8N42525,5,Hestmannøy,687,0.004698662559569094,1.2341890200413514
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42527,8N42527,5,Hestmannøy,1972,0.00045371585991327024,1.0968472117662615
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42530,8N42530,0,Nesøy,723,0.004560216187720663,1.229709699945217
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42531,8N42531,4,Gjerøy,163,0.014943986981658067,1.5656681838689515
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42532,8N42532,4,Gjerøy,2522,-0.0012679253378001672,1.0411449068788936
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42533,8N42533,4,Gjerøy,1208,0.0024950949375722132,1.1628943764864563
