trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8168632,8168632,7,Onøy og Lurøy,125,12.796568870544434
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8168769,8168769,5,Hestmannøy,126,12.87760066986084
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8732646,8732646,5,Hestmannøy,127,12.897798538208008
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N73097,8N73097,5,Hestmannøy,128,12.904584884643555
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27320,8N27320,6,Indre Kvarøy,129,12.91034984588623
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M71247,8M71247,4,Gjerøy,130,12.923893928527832
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M71507,8M71507,10,Aldra,131,12.933178901672363
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747517,8747517,5,Hestmannøy,132,12.948232650756836
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M31926,8M31926,5,Hestmannøy,133,12.963150978088379
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681063,8681063,9,Sleneset,134,13.002089500427246
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8981538,8981538,3,Selvær,135,13.038619041442871
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8681370,8681370,5,Hestmannøy,136,13.053572654724121
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8P11321,8P11321,4,Gjerøy,137,13.061233520507812
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M71521,8M71521,1,Myken,138,13.120644569396973
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N06813,8N06813,6,Indre Kvarøy,139,13.131417274475098
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8732298,8732298,8,Lovund,140,13.146760940551758
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27959,8N27959,5,Hestmannøy,141,13.151806831359863
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8939352,8939352,5,Hestmannøy,142,13.203519821166992
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8N27881,8N27881,5,Hestmannøy,143,13.218550682067871
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L52973,8L52973,4,Gjerøy,144,13.244078636169434
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8943014,8943014,10,Aldra,145,13.244327545166016
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L19992,8L19992,4,Gjerøy,146,13.381274223327637
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8M71511,8M71511,1,Myken,147,13.401310920715332
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L64923,8L64923,10,Aldra,148,13.418083190917969
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747417,8747417,1,Myken,149,13.422856330871582
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8887411,8887411,6,Indre Kvarøy,150,13.42720890045166
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L89518,8L89518,5,Hestmannøy,151,13.46866226196289
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8732681,8732681,4,Gjerøy,152,13.477280616760254
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8747218,8747218,5,Hestmannøy,153,13.489194869995117
body_mass,0,Nesøy,0,461311978,200,pca_source_topk,10,,8L89981,8L89981,7,Onøy og Lurøy,154,13.511149406433105
