target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
5,10.0,24,3,Selvær,9.8,3.8815804341359037,-5.3892519609906675e-05,10
5,10.0,24,15,Southern 5,9.9,5.10881590977792,-0.000135153582319438,10
5,10.0,25,6,Indre Kvarøy,4.4,4.141926551202418,0.00038715958050622716,10
5,10.0,25,0,Nesøy,5.7,6.019413038937712,0.00019349895698510838,10
5,10.0,25,8,Lovund,7.1,5.566766466171263,0.0002044178945018621,10
5,10.0,25,14,Southern 4,7.3,3.4657049948186747,0.00012964749458404547,10
5,10.0,25,12,Southern 2,7.6,3.062315754094895,7.759238996597715e-05,10
5,10.0,25,7,Onøy og Lurøy,7.7,4.137900702315393,0.00012696890389316987,10
5,10.0,25,2,Træna,7.8,5.050852513300216,9.771212293292293e-05,10
5,10.0,25,10,Aldra,8.1,4.383048152953731,3.723998064818839e-05,10
5,10.0,25,13,Southern 3,8.1,2.6012817353502227,1.6797072028081784e-05,10
5,10.0,25,4,Gjerøy,8.2,2.7406406388125952,2.5761123339826365e-05,10
5,10.0,25,11,Southern 1,9.1,2.2335820757001277,2.0027433483747816e-06,10
5,10.0,25,9,Sleneset,9.3,4.522781838156197,-3.430786647273811e-05,10
5,10.0,25,1,Myken,9.6,5.125101625008686,-0.00020138099424420785,10
5,10.0,25,3,Selvær,10.0,4.0,-4.3321521302997976e-05,10
5,10.0,25,15,Southern 5,10.0,4.944132324730441,-0.00013516050202901382,10
5,10.0,26,6,Indre Kvarøy,4.5,4.352521619066865,0.000389907044940471,10
5,10.0,26,0,Nesøy,5.8,6.1788168590578705,0.00018962752798219767,10
5,10.0,26,8,Lovund,7.1,5.566766466171263,0.00019450282239914487,10
5,10.0,26,14,Southern 4,7.3,3.4657049948186747,0.000126148798382397,10
5,10.0,26,12,Southern 2,7.6,3.062315754094895,7.577895866759193e-05,10
5,10.0,26,7,Onøy og Lurøy,7.7,4.137900702315393,0.00012292417637761193,10
5,10.0,26,2,Træna,7.9,5.195083145522205,8.227737398852232e-05,10
5,10.0,26,4,Gjerøy,8.1,2.923088169119167,2.952800764159684e-05,10
5,10.0,26,10,Aldra,8.1,4.383048152953731,3.6488610577840275e-05,10
